transcript_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
NM_001271501,0,0,0,0,0,16,0,0,25,20,70,0
NM_018863,4,15,6,6,6,0,3,29,57,29,56,8
NM_001252561,3,290,0,235,2,1,0,348,1,0,0,0
NM_001252560,886,790,1302,810,666,383,1209,829,739,880,0,1405
NM_001252563,0,0,0,0,0,0,0,0,0,0,0,0
NM_001252565,0,0,0,0,0,0,0,0,0,0,0,0
NR_037249,0,0,0,0,0,0,0,0,0,0,0,0
NM_007986,217,458,414,501,377,380,512,335,414,219,372,444
NM_001159593,102,144,121,112,77,127,139,147,145,76,242,134
NM_146789,0,0,0,0,0,0,0,0,0,0,0,0
NR_027448,12,21,13,8,4,11,4,9,7,8,23,16
NM_001037752,0,0,0,0,0,0,0,0,0,0,0,0
NM_011438,202,158,139,148,182,111,152,416,601,337,697,189
NR_045544,0,0,0,0,0,0,0,0,0,24,186,0
NM_027230,594,346,419,791,48,0,349,36,505,245,395,359
NM_010168,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163626,0,0,0,0,0,0,0,0,0,0,0,0
NM_001004761,0,0,0,0,0,0,0,0,0,0,0,0
NM_001110232,0,0,0,0,0,0,0,0,0,0,0,0
NM_010710,0,0,0,0,0,0,0,0,2,0,0,0
NM_001110230,1252,1976,1807,1341,1662,1499,441,1262,1420,1236,3226,1564
NM_001110231,44,470,847,668,22,439,150,43,61,95,6,461
NM_001271470,6,5,4,4,2,0,0,5,6,4,10,4
NR_045540,0,0,2,0,0,2,0,4,0,0,2,0
NR_110347,217,222,249,140,258,110,237,155,174,134,200,148
NM_027788,0,0,0,0,0,0,3,0,2,5,8,0
NM_019688,0,0,0,0,0,0,0,0,0,0,0,0
NM_027835,1001,1245,838,781,718,817,869,699,1527,1305,2789,1201
NR_033304,0,0,2,0,0,0,0,3,0,0,0,0
NM_019681,268,344,323,304,328,302,401,480,794,332,705,371
NM_175513,0,2,0,0,0,0,0,0,0,0,0,0
NM_009633,1,2,3,3,4,10,4,2,4,3,4,2
NM_001190302,784,938,674,414,623,395,632,623,756,537,1188,692
NM_001177480,0,0,0,0,0,0,0,0,0,0,0,165
NM_001099349,0,0,0,0,0,0,0,0,0,0,1,0
NM_053091,5,8,6,0,5,12,14,13,18,5,16,14
NM_027303,0,0,0,0,0,0,0,0,0,0,0,0
NM_001024145,0,0,0,0,0,0,2,3,0,0,0,0
NM_001005569,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005568,0,0,0,0,0,0,0,0,0,0,0,0
NM_016916,1068,1176,1038,771,964,756,910,1082,1272,841,1869,1085
NM_001162485,86,244,177,253,170,152,149,233,223,145,371,251
NM_027163,0,0,0,0,0,0,0,0,0,0,0,0
NR_045802,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290812,6,25,3,0,1,0,4,6,16,1,20,13
NM_001290811,204,263,76,163,125,260,360,284,244,41,297,267
NM_013822,302,532,538,520,452,563,618,407,520,370,626,626
NM_027947,151,103,0,83,3,88,138,314,2,3,2,693
NR_102309,0,0,0,0,0,0,0,0,0,0,0,0
NM_009105,2645,3201,2697,2013,2453,2133,2677,2864,3044,2310,4433,2963
NM_001003815,41,44,19,11,10,13,47,25,39,22,88,27
NM_001290819,726,814,720,392,664,555,596,0,529,382,985,728
NM_010658,1819,1547,1510,1022,1119,1218,1238,794,712,366,973,1592
NM_012018,1007,1241,942,1014,474,750,896,906,188,793,1782,1089
NM_026785,18,9,11,6,29,3,35,167,508,237,278,19
NM_018888,735,750,726,483,533,502,606,615,676,434,965,827
NM_001291079,0,0,0,0,0,0,0,0,0,0,0,0
NM_183180,893,1217,1046,1016,959,1028,1039,691,725,550,1003,1252
NM_008402,2630,3023,2615,1968,2368,2291,2648,2638,3298,2098,3902,3091
NM_001291074,1578,1939,1650,1392,1500,1217,1543,1814,2110,1326,3230,1788
NR_029538,0,0,0,0,0,0,0,0,0,0,0,0
NR_029381,0,0,0,0,0,0,0,0,0,0,0,0
NM_027017,19,21,26,14,6,19,8,24,38,20,39,31
NM_007967,0,0,0,0,0,0,0,0,0,0,0,0
NM_027014,18,73,42,23,37,16,34,101,129,85,127,38
NM_001198874,0,0,0,0,0,0,0,0,0,0,0,0
NM_001198875,0,0,0,0,0,0,0,0,0,0,0,0
NM_001198876,1265,1434,1400,938,1118,936,1622,1503,1708,930,2876,1495
NM_016973,1061,953,818,829,1197,767,720,946,935,476,1192,864
NM_001198872,0,0,0,0,1,0,0,0,0,0,0,0
NM_001198873,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011834,0,0,0,0,0,0,0,0,0,0,0,0
NM_001109906,1699,1727,1398,1343,1085,1002,1174,1185,994,1082,1843,1462
NM_026944,484,650,461,438,416,339,423,528,529,450,868,537
NM_001198878,0,0,0,0,0,0,0,0,0,0,0,0
NM_177726,0,0,0,0,0,0,0,0,0,0,0,0
NM_177725,2205,2077,1954,1689,1876,1675,1843,2012,2209,1620,3586,2217
NM_026765,858,931,785,665,708,594,690,738,742,503,1160,885
NR_035406,0,0,0,0,0,0,0,0,0,0,0,0
NM_198326,22,62,57,50,71,18,53,47,33,11,24,36
NM_030560,600,699,594,437,484,447,555,566,638,134,385,682
NM_146837,0,0,0,0,0,0,0,0,0,0,0,0
NM_009897,5,5,0,0,5,0,0,0,0,0,0,4
NM_025942,706,900,716,521,602,571,688,913,1071,750,1280,768
NM_025947,1335,1896,1517,1161,1506,865,1507,1351,1741,1141,2216,1838
NM_001159612,499,271,220,157,192,363,187,377,134,258,282,233
NM_001159610,55,92,269,67,0,65,72,69,64,0,92,97
NM_011106,1331,1407,1399,949,821,723,970,1582,1344,1508,2395,1497
NM_016804,641,781,590,502,559,467,610,737,854,600,1248,669
NM_178059,0,7,0,0,0,0,0,0,0,0,0,6
NM_021464,0,0,0,0,0,0,0,0,0,0,0,0
NM_133626,245,272,165,141,156,110,328,421,377,312,963,262
NR_106139,0,0,0,0,0,0,0,0,0,0,0,0
NM_030743,1256,1497,1334,1036,1221,965,1060,1683,1936,1363,3237,1453
NR_106135,2,1,3,2,2,1,2,1,1,2,2,2
NM_001276400,0,0,0,0,0,0,0,0,0,0,0,0
NM_207632,0,0,0,0,0,0,0,0,0,0,0,0
NM_198214,5,0,2,7,8,5,0,3,2,0,7,3
NM_181589,20,27,9,13,37,9,24,362,768,362,526,19
NM_173396,229,366,309,265,313,150,166,348,383,251,658,324
NM_028923,1495,1794,1532,1166,1306,1130,1289,1398,1648,1068,2143,1765
NM_026124,972,1124,869,764,861,760,952,1229,1415,847,1968,1040
NM_029432,2651,2864,2396,1788,2093,2004,2452,2109,2197,1637,3439,2805
NM_029437,0,0,16,0,0,0,0,429,0,0,291,542
NM_133240,280,291,276,230,233,191,208,250,277,163,373,317
NM_001037326,2,21,4,15,17,14,10,11,11,20,36,9
NR_015544,0,0,0,0,0,0,0,0,0,0,0,0
