transcript_id,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
NM_203345,0,0,0,0,0,0,0,0,0,0,0,0
NM_001003960,43,13,0,35,35,0,0,0,95,0,4,4
NM_009422,563,849,904,439,597,339,475,634,709,458,1133,823
NM_009421,63,99,50,57,70,34,51,131,297,98,252,74
NM_001003963,0,24,0,0,0,0,24,0,0,23,0,0
NM_009424,948,1148,1010,715,802,770,887,866,766,631,1273,1118
NM_146895,0,0,0,0,0,0,0,0,0,0,0,0
NM_146897,0,0,0,0,0,0,0,0,0,0,0,0
NM_146896,0,0,0,0,0,0,0,0,0,0,0,0
NM_146891,0,0,0,0,0,0,0,0,0,0,0,0
NM_146893,0,0,0,0,0,0,0,0,0,0,0,0
NM_146892,0,0,0,0,0,0,0,0,0,0,0,0
NM_145760,1579,1714,1628,1298,1829,1245,1566,658,2201,1207,2528,2064
NM_146899,0,0,0,0,0,0,0,0,0,0,0,0
NR_029460,482,508,491,392,314,339,351,414,469,246,638,533
NM_011917,1568,1917,1531,1121,1224,1213,1405,1726,2151,1517,2949,1700
NM_001006679,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039120,0,0,0,0,0,0,0,0,0,0,0,0
NM_001287739,1,1,1,2888,1,1736,1,1961,1,1527,1,1
NM_146943,0,0,0,0,0,0,0,0,0,0,0,0
NM_146942,0,0,0,0,0,0,0,0,0,0,0,0
NM_146941,0,0,0,0,0,0,0,0,0,0,0,0
NM_146940,0,0,0,0,0,0,0,0,0,0,0,0
NM_146947,0,0,0,0,0,0,0,0,0,0,0,0
NM_146946,0,0,0,0,0,0,0,0,0,0,0,0
NM_146945,0,0,0,0,0,0,0,0,0,0,0,0
NM_025531,592,678,600,448,559,438,594,805,959,582,1303,600
NM_146949,0,0,0,0,0,0,0,0,0,0,0,0
NM_146948,0,0,0,0,0,0,0,0,0,0,0,0
NM_173749,9205,12022,11371,7858,9276,6868,8380,5106,4616,4352,7820,11006
NM_001285512,0,0,0,0,552,4,0,0,0,0,0,6
NM_001285513,0,0,0,0,0,0,0,251,223,156,260,0
NM_198005,16,21,9,41,0,23,24,12,14,9,11,12
NM_001033452,0,0,0,0,0,0,0,0,0,0,0,0
NM_198001,262,359,334,230,267,226,223,389,438,272,721,309
NM_198000,0,0,0,0,0,0,0,0,0,0,5,0
NM_001085448,238,0,219,233,233,182,186,271,264,346,405,224
NM_001085449,790,889,620,609,466,468,651,728,647,484,1523,1012
NM_001166705,0,6,0,0,0,0,0,0,4,0,4,0
NM_178595,91,120,113,80,109,84,107,173,241,141,300,113
NM_028004,0,0,0,0,0,0,0,0,0,0,0,0
NM_001243103,0,0,0,0,0,0,0,0,0,0,0,0
NM_001243102,0,10,3,0,10,0,5,0,11,13,16,6
NM_001101804_2,0,0,0,0,0,0,0,0,0,0,638,0
NR_106143,0,1,1,1,0,1,0,1,1,1,1,1
NM_001011532,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011535,0,0,0,0,0,0,0,0,0,0,0,0
NM_144891,3,0,5,0,4,3,2,0,0,3,3,0
NM_001290570,0,0,0,0,0,2,0,0,0,0,0,4
NM_153155,51,40,11,11,63,12,5,2,10,4,8,17
NR_037297_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005227,0,0,0,0,0,0,0,0,0,0,0,0
NM_025626,140,176,154,153,174,195,234,171,220,161,258,215
NM_001290637,0,0,0,0,0,0,0,0,0,0,0,0
NR_040498,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290635,0,2,2,0,8,0,7,0,42,5,7,3
NM_001039087,0,0,8,0,6,2,0,0,1,0,0,0
NM_001290639,0,0,0,0,0,0,138,0,0,1,1,0
NR_040496,0,0,0,0,0,0,0,0,0,0,4,0
NM_001039086,52,80,122,60,81,122,77,67,70,69,171,126
NR_027510,53,70,164,94,135,79,75,76,108,227,165,113
NM_001290576,0,243,1,83,206,0,0,247,306,140,442,2
NR_027515,0,115,147,0,0,84,0,0,383,89,0,0
NM_025575,711,759,679,578,582,549,607,735,876,535,1139,822
NM_009936,46,39,59,57,34,37,47,36,45,48,133,46
NM_001166633,0,0,0,0,0,0,0,0,0,0,0,0
NM_175181,365,837,742,556,42,365,125,739,561,169,1439,495
NM_001024385,361,432,286,281,391,317,401,410,456,322,588,378
NM_001080708,255,289,224,246,284,201,258,188,223,150,351,251
NM_175184,1512,1499,1343,981,1282,1050,1365,1239,1337,957,1923,1596
NM_178939,1155,1409,1231,915,981,823,922,1179,1224,749,1860,1363
NM_001136072,214,256,179,144,162,131,372,268,306,199,271,343
NM_001136073,99,84,44,75,76,81,81,6,50,47,98,86
NM_023684,1019,1003,840,922,878,631,724,638,622,442,1156,884
NM_024465,1760,1961,1686,1357,1595,1252,1540,1475,1402,1133,2181,1973
NM_015754,1381,1720,1453,945,1181,1087,1153,1140,1151,875,1616,1522
NM_010894,0,0,0,0,0,0,0,0,0,0,0,0
NM_011774,1202,1176,643,867,1089,1075,1038,1021,960,941,470,655
NM_001039560,5,4,4,6,5,4,7,0,5,2,10,2
NM_207140,0,0,0,0,0,0,0,0,0,0,0,0
NR_037312,1,1,1,1,1,1,1,1,1,1,3,1
NM_207142,9,3,7,3,5,6,4,4,4,2,4,2
NM_207149,0,0,0,0,0,0,0,0,0,0,0,0
NR_030440,1,1,0,0,0,1,0,0,0,0,1,0
NM_001252587,150,157,158,197,140,121,127,127,168,107,195,149
NM_001252585,966,392,898,518,908,1473,472,1054,817,211,901,554
NM_001252584,883,1188,706,314,749,31,606,934,1131,1165,1747,1385
NM_001177550,144,171,111,87,91,73,111,124,157,90,157,128
NM_015753,3258,9606,4517,2842,2938,5901,6538,3843,3417,2525,8672,9303
NM_001252580,3,0,9,2,2,1,0,0,0,1,2,2
NM_001145854,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145857,125,267,161,108,118,159,129,163,160,128,245,167
NR_027825,0,0,0,0,0,0,0,0,0,0,0,0
NM_001277186,46,55,364,449,46,22,45,53,51,28,72,28
NM_001166031,0,0,0,2,2,3,0,75,0,2,0,61
NM_001166033,2,2,7,0,0,0,0,9,7,0,2,5
NM_001277187,0,0,0,0,0,0,0,0,0,0,0,0
NM_001025431,1515,1550,1083,888,1085,1210,1040,1247,929,986,1625,1586
NM_010740,284,224,184,112,127,317,70,271,127,122,687,459
NM_001145863,0,0,0,0,0,0,0,0,0,0,0,0
NM_146529,0,0,0,0,0,0,0,0,0,0,0,0
NM_025631,0,0,0,0,0,0,0,0,0,0,0,0
NM_001190817,191,307,249,216,242,199,243,135,161,226,338,279
NM_001033778,0,0,0,0,0,0,0,0,0,0,0,0
NM_001099328,0,0,0,0,0,0,0,0,2,0,2,0
NR_033495,0,0,0,0,0,0,0,0,0,0,0,0
NM_007682,5272,5357,4614,3905,4893,3919,4861,4414,5341,3914,6807,4905
NM_170593,15,11,13,7,4,26,7,31,35,34,74,29
NM_170592,478,571,430,402,403,400,423,583,616,357,865,570
NM_018753,8121,9471,7799,5488,6680,6204,7280,9286,9626,7184,14588,8756
NM_170598,474,462,357,362,416,510,292,550,739,312,995,262
NM_001099327,249,625,475,207,359,443,528,576,500,343,668,663
NM_001177313,8,3,3,3,13,32,40,10,33,10,10,59
NM_001006680,0,0,0,0,0,0,0,0,0,0,0,0
NM_001025576,1119,1595,999,782,732,776,771,1004,967,751,1278,1325
NM_001048176,2,10,20,8,5,4,7,6,7,5,5,23
NM_001025574,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177319,510,1489,774,603,782,1106,454,636,834,601,2398,1748
NR_027887,161,188,188,98,130,89,122,127,133,14,210,26
NM_146639,0,0,0,0,0,0,0,0,0,0,0,0
NM_146638,0,0,0,0,1,0,0,0,0,0,0,0
NM_181818,0,0,0,0,0,0,0,0,0,0,0,0
NM_010290,0,0,0,0,0,0,0,0,0,0,0,0
NM_183220,11,166,3,340,360,282,0,9,301,6,266,0
NM_001025377,0,0,0,0,0,0,0,0,0,0,0,0
NM_011580,143830,191935,118057,82775,109217,124920,133733,149159,160089,120283,266130,130211
NM_001025371,36,43,31,35,36,29,34,28,20,21,54,36
NM_146637,0,0,0,0,0,0,0,0,0,0,0,0
NR_033782,83,120,84,55,96,57,77,55,74,46,75,94
NM_013728,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177792,1,0,0,1,0,0,0,1,2,1,1,1
NM_001177793,32,0,0,0,24,12,58,14,24,0,0,22
NM_001177790,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177791,0,0,0,0,0,0,0,0,0,0,0,0
NR_037265,0,0,0,0,0,0,0,0,0,0,0,0
NM_013720,2795,3357,2701,2484,2423,2501,2908,2383,2492,2133,4400,3444
NM_013721,10766,14365,12440,9679,10894,9334,11075,14922,18359,11397,22891,13027
NR_037261,0,0,0,0,0,0,0,0,0,0,0,0
NR_037263,0,0,0,0,0,0,0,0,0,0,0,0
NM_146886,0,0,0,0,0,0,0,0,0,0,0,0
NR_045533,0,1,0,3,1,0,0,0,1,0,1,0
NM_001291178,0,0,0,0,0,0,0,0,0,0,0,0
NR_045535,58,6,13,0,4,10,109,102,8,3,22,7
NM_001033451,404,398,330,336,305,278,330,382,449,309,667,391
NR_045539,0,0,0,4,1,0,0,0,0,0,2,3
NR_045538,471,340,0,0,391,709,0,0,373,0,1952,0
NM_009977,0,0,0,0,0,0,0,0,0,0,0,0
NM_139051,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290837,85,136,73,83,76,84,47,62,104,60,115,89
NM_001110497,283,406,137,182,139,0,264,250,0,203,395,249
NM_027964,0,0,0,0,0,0,0,0,0,0,0,0
NM_027961,0,0,0,0,0,0,0,0,0,0,0,0
NR_040362,3,0,0,0,0,0,2,0,0,0,0,0
NM_031373,1067,1180,1036,963,1002,909,959,1827,2499,1604,3777,1143
NM_183162,3213,4229,3369,3126,2947,2690,3356,5221,5821,4050,11775,3527
NM_001283045,1,763,0,2,1,0,1,0,1,3,5,1
NM_001283046,2,1,2,0,8,3,22,10,2,1,2,0
NM_001283047,9,7,0,2,4,85,1,2,0,0,1,25
NM_001291016,29,0,25,33,0,0,0,0,0,32,46,31
NM_001291019,520,163,653,663,180,282,208,230,424,227,612,191
NM_026563,64,37,552,270,384,184,334,523,573,29,1025,804
NM_080558,1783,2069,1866,1404,1597,1601,1754,1642,1813,1225,2530,2043
NM_146778,0,0,0,0,0,0,0,0,0,0,0,0
NR_002867,0,0,0,0,0,0,0,0,0,0,0,0
NM_007947,0,0,0,0,0,0,0,0,0,0,0,0
NM_010160,0,0,0,0,0,0,1,0,0,0,0,0
NM_010163,4701,5199,4423,3470,4001,3436,4086,4875,5590,3569,7583,5103
NM_010165,22,0,101,0,101,75,0,0,102,49,0,0
NM_080554,917,1134,893,704,778,734,868,1064,1225,737,1545,988
NM_026212,654,696,610,534,535,509,590,686,725,540,1360,714
NM_175145,4128,4267,4137,2932,3595,3172,3715,3850,4270,2813,5962,4490
NM_016914,0,0,0,0,0,0,0,0,0,0,0,0
NM_021534,688,855,702,520,577,587,652,582,614,452,776,806
NM_022995,11711,10800,10300,8008,10846,9158,11624,11345,11227,10015,21206,10496
NM_026968,847,1131,1019,687,743,692,864,887,847,719,1422,1046
NM_016918,253,284,282,213,239,185,214,405,534,287,586,276
NM_001109905,1373,1169,1518,1098,882,703,1392,1329,995,1151,3011,1491
NM_001159638,0,0,0,0,0,0,0,0,0,0,0,0
NM_177588,137,181,113,61,98,101,115,98,101,91,111,140
NM_001159635,0,156,0,0,0,72,0,92,0,1,138,2
NM_001159634,13220,13902,5785,10718,10137,4912,11456,10924,9931,3933,9195,7052
NM_001159636,0,0,0,0,0,0,0,0,0,1,0,1
NM_001159631,1,0,0,2,0,0,1,0,183,0,1,0
NM_008721,2675,3478,3158,2841,2437,2191,2460,2215,2585,1533,3145,3458
NM_027585,61,110,86,73,49,56,55,53,48,43,108,102
NM_001008498,378,413,365,310,293,251,315,359,399,234,488,420
NM_001291129,3,3,2,0,3,0,4,55,44,4,50,1
NM_029635,424,583,447,381,381,362,431,524,573,377,770,503
NM_026697,3518,4118,3273,2448,3665,2946,3248,3799,4107,2798,5303,3723
NM_029981,24929,14989,14360,11050,17600,16656,19323,16163,11013,15602,28561,14409
NM_001291120,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291121,0,2,0,0,0,0,2,0,4,0,2,0
NM_001291122,43,98,30,33,35,41,109,29,124,31,110,29
NM_001291123,0,0,0,0,0,0,0,0,0,0,0,0
NM_178036,0,0,0,0,0,0,0,0,0,0,0,0
NM_011162,616,397,1,2,509,5,0,3,1,449,5,0
NM_030135,0,0,0,0,0,0,0,0,0,0,0,0
NM_021409,223,273,240,173,183,184,185,209,231,114,279,256
NM_206942,0,0,0,0,0,0,0,0,0,0,0,0
NM_206941,0,0,0,0,0,0,0,0,0,0,0,0
NM_026361,1052,942,808,514,763,735,883,598,807,462,960,824
NM_001024856,348,776,685,458,1111,352,803,8,947,730,1003,1149
NM_130884,2192,2985,2390,1846,2000,1832,1934,2293,2456,1641,3621,2536
NM_001024857,748,495,375,395,0,697,342,1021,0,23,604,18
NM_021331,0,0,0,0,0,0,0,0,0,0,0,0
NM_001244903,2181,1465,1258,1020,2105,1725,1742,1245,1291,868,2123,1525
NM_001276422,430,370,326,306,154,159,277,226,199,264,404,425
NM_021335,661,799,645,554,721,512,638,776,912,631,1137,748
NM_025980,21,16,16,10,8,11,7,11,8,3,10,18
NM_177054,0,0,0,0,0,0,0,0,0,0,0,0
NM_001198877,0,0,0,0,0,0,0,0,0,0,2,0
NM_008091,5,18,0,0,0,2,5,5,6,3,9,4
NM_008093,2893,2623,1771,1477,2413,1508,2016,2150,2441,1915,4058,2200
NM_008652,23,15,22,33,28,24,16,165,395,136,244,31
NM_008653,0,3,0,0,0,0,0,0,0,0,0,0
NM_001205076,0,1539,0,0,0,374,0,493,0,0,0,0
NM_009702,1912,1786,1489,1437,1308,963,1700,2038,2046,1617,2837,1657
NM_207705,52,58,39,1483,37,72,32,27,35,22,132,38
NM_001011835,0,0,0,0,0,0,0,0,0,0,0,0
NM_011012,0,0,0,0,0,0,0,0,0,0,0,0
NM_001141982,5,133,110,145,6,3,4,4,7,5,195,7
NM_016873,6419,7421,6675,4919,4684,4723,5192,9775,5991,8921,20246,7054
NM_001114124,0,890,1154,0,0,762,76,0,0,0,0,0
NM_001114125,585,163,137,109,1387,104,343,610,551,28,906,534
NM_172979,0,0,8,0,0,0,0,0,0,0,0,2
NM_175400,1314,1385,1242,942,1184,1018,1105,1268,1466,947,1738,1326
NM_207236,0,0,0,0,0,0,0,0,0,0,0,0
NM_133779,2570,2460,2107,1778,2388,1850,2136,2964,3762,2213,4390,2434
NM_029163,0,0,0,0,0,0,3,2,0,0,0,2
NM_172977,1399,1484,1468,1053,1198,1016,1265,1479,1771,918,2026,1495
NM_001276332,0,0,0,178,0,0,0,0,0,0,0,346
NM_008383,0,0,1206,12,0,928,0,0,0,701,0,0
NM_146818,0,0,0,0,0,0,0,0,0,0,0,0
NR_030565_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290734,0,0,0,70,0,523,519,337,0,0,0,0
NM_026981,172,238,153,158,156,127,134,207,244,150,314,196
NM_019806,3542,3948,3379,2460,3434,2719,3267,2945,3324,2204,4515,3540
NM_020593,195,165,279,191,366,193,148,209,178,194,557,165
NM_008274,0,0,0,0,0,0,0,0,0,0,0,0
NM_029293,808,1039,812,626,760,638,728,831,974,577,1295,823
NM_020595,0,0,0,0,0,0,0,0,0,0,0,3
NM_020594,73,98,105,55,74,72,81,69,101,64,154,87
NM_033145,0,0,0,0,0,0,0,0,0,0,0,0
NM_145973,15,24,22,16,14,12,11,8,17,14,15,21
NM_146887,0,0,0,0,0,0,0,0,0,0,0,0
NM_001085521,9,0,5,15,9,11,0,3,13,5,7,12
NM_146885,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291210,0,0,0,0,54,0,0,54,0,38,39,0
NM_178851,1544,970,1398,547,1224,1139,472,1313,1331,777,1259,1941
NM_001291211,237,244,206,242,237,227,186,187,282,421,340,177
NM_146888,0,0,0,0,0,0,0,0,0,0,0,0
NM_146889,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164770,187,518,297,415,164,148,428,580,353,217,362,418
NM_001164772,145,146,134,139,142,109,189,199,170,98,341,201
NM_001003915,2,2,0,0,0,3,0,5,0,0,0,10
NM_020575,1090,1353,1101,868,763,937,943,1027,1057,831,1597,1271
NM_001290733,593,565,527,334,482,2,2,5,397,286,533,500
NM_001290730,0,10,0,0,0,0,0,0,0,0,0,0
NM_001290731,0,0,0,0,0,0,0,0,0,0,0,0
NM_146950,0,0,0,0,0,0,0,0,0,0,0,0
NM_146951,0,0,0,0,0,0,0,0,0,0,0,0
NM_173750,1,2,1,3,1,1,1,1,1,2,2,1
NM_001290735,0,0,0,0,0,0,0,0,0,0,0,0
NM_001285507,444,503,499,365,547,447,418,504,501,314,563,360
NM_008275,0,0,0,0,0,0,0,0,0,0,0,0
NM_008276,2,7,5,14,24,2,7,5,10,3,0,16
NM_001012305,0,0,0,0,0,0,0,0,0,0,0,0
NM_008273,0,0,0,0,0,0,0,0,0,0,0,0
NM_008078,3,5,11,4,3,3,0,44,70,8,20,8
NM_001199147,1,0,0,0,1,2,1,0,1,0,0,1
NM_001199146,522,621,448,722,857,629,432,640,509,397,801,284
NM_029362,4454,4964,4129,3303,3886,3398,4166,4577,5184,3848,7791,4745
NM_001291483,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291482,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291481,0,0,23,0,30,56,0,24,13,55,0,0
NM_145378,0,3,0,47,0,0,0,0,0,0,0,0
NM_001289716,760,925,702,570,1071,779,729,707,884,674,1010,1297
NM_146771,0,0,0,0,0,0,0,0,0,0,0,0
NM_001085453,6709,6814,5806,4044,4864,4934,5872,5715,6220,3808,8831,6602
NM_175752,348,689,580,428,394,398,361,606,930,743,1116,540
NM_001085450,257,0,209,150,235,210,133,253,308,344,260,256
NM_019835,1655,2416,2122,1678,1562,1427,1669,3505,5148,2371,6205,2210
NM_025946,100,122,140,159,158,85,28,93,142,145,168,122
NM_007389,13,18,12,0,16,12,18,10,0,13,31,13
NM_001285446,0,0,0,0,0,0,0,10,0,58,0,1
NM_025619,16,17,6,17,21,12,24,15,31,11,62,18
NM_007380,313,342,343,243,383,411,357,447,466,346,872,375
NM_025613,2960,3499,3152,2040,3218,2420,2893,2879,3149,2061,3745,3137
NM_146769,0,0,0,0,0,0,0,0,0,0,0,0
NM_007387,3417,3929,3373,2223,2701,2380,2895,3085,3277,2361,4799,3833
NM_008077,0,0,2,0,0,0,0,0,2,0,0,0
NM_146768,0,0,0,0,0,0,0,0,0,0,0,0
NM_023876,359,447,317,225,272,239,299,350,392,257,496,373
NM_023871,739,629,573,606,1115,695,1433,339,1530,584,2038,1461
NM_001081005,454,762,686,469,508,435,576,717,845,606,1603,640
NM_001081006,256,3,0,7,3,319,0,0,0,0,0,350
NM_001082974,120,169,128,131,133,74,87,103,139,112,217,128
NM_001166603,0,0,0,0,0,0,0,0,0,0,0,0
NR_027509,0,0,0,0,0,0,58,63,47,0,139,0
NM_001166604,0,0,0,0,0,0,0,0,0,0,0,0
NM_146402,0,0,0,0,0,0,0,0,0,0,0,0
NM_146403,0,0,0,0,0,0,0,0,0,0,0,0
NM_175190,1994,3390,2735,1803,1549,1332,2504,1904,2597,1370,4341,2024
NM_146401,0,0,0,0,0,0,0,0,0,0,0,0
NM_146406,0,0,0,0,0,0,0,0,0,0,0,0
NR_002687,104,184,196,116,127,122,0,208,344,104,262,143
NM_146404,0,0,0,0,0,0,0,0,0,0,0,0
NM_146405,0,0,0,0,0,0,0,0,0,0,0,0
NM_001136063,3,0,0,0,0,0,0,0,0,0,0,0
NM_146408,0,0,0,0,0,0,0,0,0,0,0,0
NM_146409,0,0,0,0,0,0,0,0,0,0,0,0
NM_011414,1,68,23,28,0,7,1,51,86,33,142,20
NM_001080711,0,0,0,0,0,0,0,0,0,0,2,0
NM_172409,1324,1589,1429,1141,1322,1386,1508,1209,1430,1211,1915,1619
NM_145994,306,360,337,240,352,324,314,440,442,354,676,349
NM_146766,0,0,0,0,0,0,0,0,0,0,0,0
NM_207154,0,0,0,0,0,0,0,0,0,0,0,0
NM_001159570,223,174,124,161,88,209,139,244,98,105,119,124
NM_207150,0,0,0,0,0,0,0,0,0,0,0,0
NM_207151,0,0,0,0,0,0,0,0,0,0,0,0
NR_030454,31,50,25,25,77,33,29,36,50,40,58,39
NM_021546,17,27,13,39,38,22,26,14,23,25,28,48
NM_001177543,0,0,0,0,0,0,0,0,0,0,0,0
NM_019642,12853,15690,13138,9639,11065,9109,11655,13847,15829,10867,21895,14328
NM_001083959,0,0,0,0,0,0,0,0,0,0,0,0
NM_010190,0,0,0,0,0,0,0,0,0,0,0,0
NM_001114079,4,8,0,4,5,0,0,10,7,5,38,0
NM_023057,303,441,340,251,219,209,374,431,403,305,602,395
NM_001100416_4,0,0,0,0,0,0,0,0,0,0,649,0
NM_013679,0,0,0,0,0,0,0,0,0,0,0,0
NM_001100416_5,0,0,0,0,0,0,0,0,0,0,0,0
NM_146532,0,0,0,0,0,0,0,0,0,0,0,0
NR_028540,20,27,14,20,21,14,13,15,9,12,38,14
NM_146531,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081091,204,288,199,197,202,158,220,241,254,127,367,248
NR_027876,181,88,28,47,44,45,29,35,38,76,129,92
NM_001256055,1211,1388,897,747,1223,1150,1014,1444,1709,1037,1834,1324
NM_018766,0,0,0,0,0,0,0,0,0,0,0,0
NM_001099331,0,0,0,0,0,0,0,0,0,0,0,0
NM_170588,782,487,229,456,683,658,1375,1670,1131,667,2430,947
NM_011373,253,263,259,279,283,272,276,276,260,161,412,287
NM_001048148,1187,1206,1000,976,897,785,825,880,1013,537,1503,1129
NR_027899,0,0,0,0,0,0,0,0,0,0,0,0
NM_001048142,0,0,0,3,0,0,0,23,0,32,41,0
NR_027890,11,9,8,37,40,8,35,1,17,15,44,9
NM_001048141,0,0,0,0,0,0,0,0,0,0,18,0
NM_010285,0,0,0,0,0,0,0,9,0,0,5,0
NM_001278788,0,0,0,0,0,0,0,0,0,0,0,0
NM_146628,0,0,0,0,0,0,0,0,0,0,0,0
NM_011576,637,643,491,654,547,379,610,746,700,732,1199,511
NM_146622,0,0,0,0,0,0,0,0,0,0,0,0
NM_146623,0,0,0,0,0,0,0,0,0,0,0,0
NM_146627,0,0,0,0,0,0,0,0,0,0,0,0
NM_146624,0,0,0,0,0,0,0,0,0,0,0,0
NM_146625,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177785,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163701,709,1012,779,343,439,695,388,571,1088,694,1242,854
NM_001177787,0,0,0,0,0,0,0,0,0,0,41,0
NM_001177786,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177789,0,0,0,0,0,0,0,0,0,0,0,0
NM_080788,0,0,0,0,0,0,0,0,0,0,0,0
NM_177139,0,0,0,0,0,0,0,0,0,0,0,0
NM_183181,2,2,2,4,4,1,2,4,7,7,6,2
NM_001077507,0,0,0,0,91,0,0,0,0,0,0,0
NR_045838,0,0,0,0,0,0,0,0,0,0,0,0
NM_199038,0,0,0,0,0,0,0,0,0,0,0,0
NR_033572,359,386,11,278,2,254,253,3,5,7,360,9
NM_027977,1385,1747,1358,946,1206,936,1146,1335,1358,1023,1969,1567
NM_009135,13178,15116,13054,9645,11133,11936,12175,9442,7601,7753,15492,15593
NM_021275,0,0,0,0,0,0,0,0,0,0,0,0
NM_009133,2,5,2,7,7,0,8,0,0,0,7,10
NM_053263,2449,2255,4071,919,2539,1348,1965,3320,4624,6383,12491,2124
NM_001291002,406,562,552,364,366,417,506,568,785,427,763,398
NM_001291000,169,390,302,235,270,18,205,78,0,225,279,318
NM_026519,771,922,772,633,720,630,660,801,887,573,1192,875
NM_001291005,0,0,0,0,0,0,1,0,0,0,0,0
NM_010376,2939,3136,1758,2274,2750,2268,2675,3474,3632,2022,3842,3389
NM_011484,1102,1283,1122,922,1064,1004,1022,1077,1067,723,1561,1219
NM_007952,22812,31110,25008,15811,20460,17198,22057,27402,34606,19369,39335,27165
NR_002854,0,0,0,0,0,0,0,0,0,0,0,0
NM_011481,0,5,0,0,0,0,0,0,0,4,3,0
NM_146641,0,0,0,0,0,0,0,0,0,0,0,0
NM_001045554,0,0,0,0,0,0,0,0,0,0,0,0
NM_021507,1,0,0,0,0,0,336,0,0,0,73,0
NM_001011804,0,0,0,0,0,0,0,0,0,0,0,0
NM_001277096,0,32,0,23,16,0,0,76,28,0,71,0
NM_001011803,0,0,0,0,0,0,0,0,0,0,0,0
NM_022989,328,385,246,235,256,278,255,360,424,259,529,351
NM_172676,12,21,21,19,21,19,11,11,11,15,22,28
NM_027600,0,0,0,0,0,0,0,0,0,0,0,0
NR_033459,8,21,13,13,11,9,9,12,30,3,12,18
NM_001011787,0,0,0,0,0,0,0,0,0,0,0,0
NM_009628,2634,3012,2550,2069,2585,1926,2630,2734,3024,2329,4587,2742
NM_001011784,0,0,0,0,0,0,0,0,0,0,0,0
NM_008714,3052,2660,2558,2159,2246,2373,2373,2935,2673,1821,5142,3155
NM_001159640,136,163,173,0,0,0,0,0,105,0,238,0
NM_001159641,35,0,0,3,0,2,0,124,0,0,0,0
NR_045264,0,0,0,0,0,0,0,0,0,0,0,0
NM_001159646,150,262,256,159,222,194,217,304,306,252,446,160
NM_029629,167,184,136,119,138,97,152,144,115,103,207,167
NM_001291137,0,0,0,20,0,0,0,0,24,0,0,0
NM_001291136,336,332,347,0,239,0,194,0,402,0,580,371
NM_001291135,207,272,24,25,87,2,105,163,189,98,374,30
NM_001291134,399,599,699,682,527,630,555,524,383,776,432,566
NM_001177848,15,0,8,5,11,5,0,9,0,0,9,7
NM_001291130,0,0,0,0,0,0,0,0,22,0,0,0
NM_026422,489,620,485,378,467,418,421,509,578,372,817,574
NM_026425,34,54,93,83,87,80,113,81,103,220,132,60
NM_001242943,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242940,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177624,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242944,6,0,0,0,0,0,0,0,0,0,0,0
NM_054055,0,0,0,0,0,0,0,0,0,0,8,2
NM_025991,406,445,435,303,375,308,320,442,537,292,620,452
NM_054050,3492,3691,3288,2818,3161,2891,3256,3236,3511,2472,5254,3935
NM_025996,987,321,39,257,40,226,839,610,390,105,282,162
NM_173397,540,441,426,305,313,393,388,347,374,272,554,578
NM_001276431,0,0,0,0,0,0,0,0,0,0,0,0
NM_144818,14,20,30,18,21,22,27,237,516,226,324,27
NR_024487,3,141,20,90,64,85,86,56,104,85,62,105
NM_001177840,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042630,0,0,0,0,0,0,0,0,0,0,0,0
NM_001111289,902,1888,1010,891,1517,1139,1227,1772,1727,929,3525,1275
NM_008665,0,0,0,0,0,0,0,0,0,0,0,0
NR_015591,31,42,5,28,25,2,32,12,3,54,30,33
NM_172980,0,0,0,0,0,0,0,0,3,0,3,2
NM_009715,216,236,0,145,186,167,558,230,217,174,220,173
NM_001171680,0,0,0,0,0,0,0,0,0,0,0,0
NM_011025,0,3,0,0,0,0,5,0,0,0,0,0
NM_025428,47,27,0,32,2,33,74,37,58,45,53,0
NM_133701,2124,2352,2175,1608,1600,1563,1834,1865,2022,1345,3072,2202
NM_025422,444,486,467,174,363,235,391,218,238,267,206,421
NM_001006675,0,0,0,0,0,0,0,0,0,0,0,0
