ID	log2fold	p	p.adj
ENSG00000005194	-0.146922825425697	1.1954850788866e-08	1.99591043342849e-06
ENSG00000062282	0.644209292880323	1.22537776633934e-08	2.02256955182715e-06
ENSG00000064763	0.431701029913873	1.30136024116985e-08	2.11177733798067e-06
ENSG00000073756	1.48477645556096	1.30850230924792e-08	2.11177733798067e-06
ENSG00000158813	0.595996717907067	1.34708542526556e-08	2.15015558263542e-06
ENSG00000082641	0.129615562408931	1.50859800813768e-08	2.28288590757491e-06
ENSG00000096006	1.5697197439604	1.44982417219572e-08	2.28288590757491e-06
ENSG00000161681	-0.906707172605263	1.5078021158154e-08	2.28288590757491e-06
ENSG00000171227	-1.80608504225238	1.50882648624572e-08	2.28288590757491e-06
ENSG00000213937	0.772001769186739	1.48065245462342e-08	2.28288590757491e-06
ENSG00000105610	1.09294101689809	1.60724449394671e-08	2.35903020934368e-06
ENSG00000112053	0.736957943189307	1.59341344395262e-08	2.35903020934368e-06
ENSG00000161381	-0.515151987536272	1.61394832920126e-08	2.35903020934368e-06
ENSG00000169814	0.1463359100361	1.64035835555051e-08	2.35903020934368e-06
ENSG00000204010	1.80940712372901	1.63453640844693e-08	2.35903020934368e-06
ENSG00000163993	1.10109732055746	1.71335158418332e-08	2.43984625100615e-06
ENSG00000106603	-0.167156273267487	1.77138901031188e-08	2.49800246357087e-06
ENSG00000076864	1.59300922763293	1.82123767321897e-08	2.51937878128625e-06
ENSG00000159346	0.36761103231786	1.80481409389753e-08	2.51937878128625e-06
ENSG00000012223	1.56937387652934	2.1016039205248e-08	2.85287821921708e-06
ENSG00000165626	0.794463913658312	2.08906889736109e-08	2.85287821921708e-06
ENSG00000160712	0.236070857531967	2.1256387216695e-08	2.85878726224533e-06
ENSG00000109943	-0.358942041036906	2.29070893469707e-08	2.97246472728989e-06
ENSG00000165349	-1.60951839853928	2.29202099453678e-08	2.97246472728989e-06
ENSG00000173638	0.365141496211591	2.25501109035177e-08	2.97246472728989e-06
ENSG00000197852	0.631316170693571	2.24725240642287e-08	2.97246472728989e-06
ENSG00000183813	0.515884557911544	2.31302718416279e-08	2.97316104866943e-06
ENSG00000005102	0.594763815475016	2.42013188886601e-08	3.05673179876337e-06
ENSG00000111052	0.488529118224896	2.40033365488434e-08	3.05673179876337e-06
ENSG00000050030	0.589395252529371	2.52641015519939e-08	3.16345754347166e-06
ENSG00000113916	0.444463446639164	2.78954452641508e-08	3.46308839710932e-06
ENSG00000022840	0.235094166885811	2.83337374072311e-08	3.48769098169518e-06
ENSG00000181830	0.18096011114719	2.91480024026764e-08	3.55777088150315e-06
ENSG00000158470	0.361408308650564	2.96453139263977e-08	3.58831820650772e-06
ENSG00000126262	1.27212890272774	3.07919161054486e-08	3.69630232588133e-06
ENSG00000103569	0.767095238194537	3.24045646609106e-08	3.79637721520347e-06
ENSG00000146674	0.626304532556299	3.24096918888282e-08	3.79637721520347e-06
ENSG00000197324	0.209986405160524	3.23411280062513e-08	3.79637721520347e-06
ENSG00000196663	0.337392728383621	3.29237064995862e-08	3.82573469525191e-06
ENSG00000170832	0.249178044438664	3.32119598901677e-08	3.82860093178322e-06
ENSG00000113303	1.39993031336171	3.37801143446227e-08	3.86343433744602e-06
ENSG00000105514	0.33871045370584	3.54054572222072e-08	4.01768957931687e-06
ENSG00000111540	0.0857635042627819	3.64265945019142e-08	4.09879370761395e-06
ENSG00000128594	0.734974457028897	3.66845564192643e-08	4.09879370761395e-06
ENSG00000101152	0.146051758888621	3.79757314692558e-08	4.17757619526042e-06
ENSG00000131389	0.313681818885665	3.82525049204569e-08	4.17757619526042e-06
ENSG00000140526	0.236646667935448	3.7944917296564e-08	4.17757619526042e-06
ENSG00000148346	1.47352528636485	3.94947014848695e-08	4.28104879901291e-06
ENSG00000164849	0.593464315313029	4.01979868701096e-08	4.32500562435809e-06
ENSG00000059588	-0.260293896239983	4.32136033005304e-08	4.61527638191327e-06
ENSG00000189337	1.09747744099428	4.5024332243581e-08	4.77356515210229e-06
ENSG00000174807	-0.634368160005772	4.56648739760598e-08	4.80639343842224e-06
ENSG00000114948	0.785328073056166	4.62544648672419e-08	4.80969480502395e-06
ENSG00000144668	0.83778918831037	4.63585041448091e-08	4.80969480502395e-06
ENSG00000173391	1.52355255182112	5.03411506892958e-08	5.18585257987249e-06
ENSG00000085185	0.209588709766104	5.26598841507211e-08	5.38651279781143e-06
ENSG00000133318	0.262456643130891	5.40037275595021e-08	5.48534365595642e-06
ENSG00000177628	0.185665862551318	5.47421207948927e-08	5.52173128156817e-06
ENSG00000223609	1.67537085712278	5.61134712527639e-08	5.62102186169928e-06
ENSG00000127954	0.759797014207761	6.39933326555074e-08	6.32315072667514e-06
ENSG00000172116	-0.478233389676933	6.37253845290783e-08	6.32315072667514e-06
ENSG00000025039	0.351855390887166	6.47011592827104e-08	6.34989417960384e-06
ENSG00000119950	0.355309072364926	7.20198247645158e-08	7.02072452821874e-06
ENSG00000143416	1.65261909704103	7.53671115605022e-08	7.29804863610863e-06
ENSG00000172766	-0.276375636316351	7.60751021574817e-08	7.31782025720146e-06
ENSG00000123405	0.418151628877593	7.66042613287988e-08	7.32024273553159e-06
ENSG00000186654	-0.311723876737232	7.72479758436142e-08	7.33350881783331e-06
ENSG00000198736	0.425818905824253	7.80047799379472e-08	7.35726901687457e-06
ENSG00000145491	0.541643931578728	8.27494320566071e-08	7.75442258465947e-06
ENSG00000163694	0.386959406514557	8.35256336577544e-08	7.77698608255694e-06
ENSG00000100504	0.366779249244733	8.53266691685107e-08	7.8940756030103e-06
ENSG00000160685	0.200120630055303	8.6651138496074e-08	7.93983695740051e-06
ENSG00000196565	1.84546454757203	8.69145663495133e-08	7.93983695740051e-06
ENSG00000173320	1.33534621794312	8.91634379630187e-08	8.09436835258029e-06
ENSG00000137207	0.138150650568201	8.99027756263638e-08	8.11079388803065e-06
ENSG00000073910	0.285435945715536	1.07484582473978e-07	9.63712074342304e-06
ENSG00000166947	1.3576122863969	1.09555891603619e-07	9.76257254934094e-06
ENSG00000119121	0.719801979148946	1.1599010759783e-07	1.02017558355466e-05
ENSG00000169403	0.364530964837805	1.1659149526339e-07	1.02017558355466e-05
ENSG00000182541	0.42562714280723	1.1615049247488e-07	1.02017558355466e-05
ENSG00000166900	0.371384788302066	1.18615246358881e-07	1.03166853494775e-05
ENSG00000160180	1.65628576591149	1.24634778955797e-07	1.07757152638866e-05
ENSG00000099804	0.241779368840481	1.27749936779469e-07	1.09151048924811e-05
ENSG00000104722	0.729190987173487	1.27054612171873e-07	1.09151048924811e-05
ENSG00000085117	0.239712136437727	1.37540664047928e-07	1.16829131303869e-05
ENSG00000124098	0.361818581131554	1.38633911888964e-07	1.17073114545767e-05
ENSG00000198216	1.2297778935763	1.40390901409128e-07	1.17871551616623e-05
ENSG00000101265	0.248661658300948	1.42227178353211e-07	1.18048558033166e-05
ENSG00000116299	0.432815847195542	1.42148215209148e-07	1.18048558033166e-05
ENSG00000118520	1.35761493688724	1.46226927434115e-07	1.20678756873893e-05
ENSG00000137642	0.251068721637968	1.51526429280788e-07	1.23959074032796e-05
ENSG00000166147	0.80308001388801	1.5190853822952e-07	1.23959074032796e-05
ENSG00000089902	0.197089860348168	1.5459689936496e-07	1.2544804264112e-05
ENSG00000057935	-0.248660443859529	1.61854462745354e-07	1.29505646030446e-05
ENSG00000131080	0.596329305783805	1.62272134785137e-07	1.29505646030446e-05
ENSG00000158578	1.77031532783351	1.61279757813982e-07	1.29505646030446e-05
ENSG00000124107	1.34298494734449	1.68182043550082e-07	1.33057604222047e-05
ENSG00000181274	0.452873123850184	1.68554899668548e-07	1.33057604222047e-05
ENSG00000198734	0.381585555429285	1.69796946314644e-07	1.33313548390281e-05
ENSG00000092067	0.789944382114153	1.77778552766471e-07	1.38829756931881e-05
ENSG00000225873	0.562927750930623	1.79108686090111e-07	1.39120516869458e-05
ENSG00000198053	0.329449779322159	1.83215269554887e-07	1.41553286717273e-05
ENSG00000017797	0.166956663895943	1.94299918369128e-07	1.49323085413311e-05
ENSG00000266412	0.22478088591001	1.9713977535771e-07	1.50708170372144e-05
ENSG00000106070	0.349746763693689	1.98381423638093e-07	1.50863360122686e-05
ENSG00000172331	0.523931576840313	2.03761997560894e-07	1.54148073675624e-05
ENSG00000146592	0.47290864104667	2.17874132354779e-07	1.6397004002348e-05
ENSG00000238243	0.992844792322816	2.23223068857267e-07	1.67129643049062e-05
ENSG00000135956	0.175792737806625	2.25389186608876e-07	1.67886047974047e-05
ENSG00000123810	0.194464540265431	2.45384442291766e-07	1.81847399198362e-05
ENSG00000123700	0.800629798784221	2.46771491680759e-07	1.81946122532255e-05
ENSG00000171552	0.560795187034877	2.480229415586e-07	1.81946122532255e-05
ENSG00000129657	0.331929231530494	2.50510665519794e-07	1.82847608878141e-05
ENSG00000143226	0.446395534292476	2.57951604352224e-07	1.87337352660803e-05
ENSG00000101230	0.629827968689076	2.76166709276988e-07	1.99568231455137e-05
ENSG00000135842	0.428074806141173	2.84435743584694e-07	2.04526196810281e-05
ENSG00000144290	-0.84253646905465	2.87758934298951e-07	2.05896478851835e-05
ENSG00000105366	1.39581799444689	3.09957242603172e-07	2.18913797123553e-05
ENSG00000124469	1.46647657887102	3.0999891212353e-07	2.18913797123553e-05
ENSG00000147180	-0.376417040504223	3.10473268209651e-07	2.18913797123553e-05
ENSG00000134755	0.703341096425998	3.16938228315912e-07	2.22392645714426e-05
ENSG00000118804	0.696636630977335	3.2219160713925e-07	2.24991975658539e-05
ENSG00000068323	0.181797176057931	3.391709935118e-07	2.357157263521e-05
ENSG00000170876	0.126063875058534	3.48635851383007e-07	2.4113979720658e-05
ENSG00000156395	0.756500364111163	3.58597177267716e-07	2.46854218000643e-05
ENSG00000026025	0.216115297636616	3.64110606171431e-07	2.49467290313209e-05
ENSG00000100266	0.182141886239542	3.65944897557255e-07	2.49546931315452e-05
ENSG00000103194	0.143164604005532	3.80198853076966e-07	2.56855271671764e-05
ENSG00000161714	0.311943556535267	3.79950216508702e-07	2.56855271671764e-05
ENSG00000162413	0.170795118027166	3.90680598257815e-07	2.62714615263647e-05
ENSG00000184371	0.385958970438535	4.0460300795833e-07	2.70822981133399e-05
ENSG00000088992	0.325812990519675	4.10235361544858e-07	2.70848573929048e-05
ENSG00000145335	0.953193623823151	4.09078295195405e-07	2.70848573929048e-05
ENSG00000172270	0.188480470526964	4.0686876175872e-07	2.70848573929048e-05
ENSG00000115271	0.452008688258329	4.12524881159921e-07	2.71127778228409e-05
ENSG00000163625	0.389070210783104	4.49888977145311e-07	2.94353035722326e-05
ENSG00000133961	0.203240798275751	4.57372080301083e-07	2.97907150958441e-05
ENSG00000103154	1.1344020441191	4.6274666374163e-07	3.00062289769963e-05
ENSG00000188536	1.22057645127726	4.65027678731887e-07	3.00201201492473e-05
ENSG00000119535	0.460064709129732	4.75292355795146e-07	3.05469976456836e-05
ENSG00000171475	0.111234500872854	4.93188741292825e-07	3.15575615298603e-05
ENSG00000171310	0.20072442358274	5.00312139432235e-07	3.18729553739176e-05
ENSG00000131844	-0.101838473170251	5.04130734035462e-07	3.19582811325053e-05
ENSG00000196923	0.365706629740087	5.06051955970824e-07	3.19582811325053e-05
ENSG00000205581	-0.162591312248587	5.13620020294199e-07	3.22958043063777e-05
ENSG00000184481	0.138562677676515	5.37737243704756e-07	3.36665235552223e-05
ENSG00000127507	0.36393654632278	5.43039766711974e-07	3.38525863154139e-05
ENSG00000003096	-0.468743957589095	5.56378125355614e-07	3.45358644050867e-05
ENSG00000188738	-1.10346235617226	5.61510888957204e-07	3.47061517536314e-05
ENSG00000169397	1.35574457966088	5.64097618689897e-07	3.47182962350455e-05
ENSG00000151612	-0.256115464005263	5.75799550480624e-07	3.51407078602145e-05
ENSG00000162747	1.32251895223227	5.74335579458238e-07	3.51407078602145e-05
ENSG00000182463	0.493226461695778	5.91607275650214e-07	3.59543752251856e-05
ENSG00000138449	0.294297118150514	5.95337193077081e-07	3.60303030393525e-05
ENSG00000187801	-0.267919516426522	6.01184912999482e-07	3.62332400884543e-05
ENSG00000175215	0.101961693582804	6.03963077848523e-07	3.62502632469e-05
ENSG00000101425	1.11821475660056	6.23566053709108e-07	3.72728268729415e-05
ENSG00000113749	0.306143275122891	6.34773555018222e-07	3.76826267019299e-05
ENSG00000139178	0.207585708138621	6.35610570875926e-07	3.76826267019299e-05
ENSG00000171777	0.305365723755262	6.53029306998094e-07	3.85579296103549e-05
ENSG00000186462	0.393861399274998	6.99733490043024e-07	4.11482953152831e-05
ENSG00000237172	0.313003476803998	7.0604660934884e-07	4.13521250031932e-05
ENSG00000142405	0.337022129531899	7.19812370989967e-07	4.19890549744147e-05
ENSG00000197405	0.468471497895329	7.23477986177333e-07	4.2034070996903e-05
ENSG00000124490	1.94386285524163	7.29753524416978e-07	4.22297607257235e-05
ENSG00000204160	0.334150939635668	7.35903719437509e-07	4.24166727175786e-05
ENSG00000102755	-0.479660506909349	7.57810695618516e-07	4.33354344640116e-05
ENSG00000117322	-0.431677871268393	7.56140247823029e-07	4.33354344640116e-05
ENSG00000185261	0.343322840360441	7.81926695381884e-07	4.45391578447916e-05
ENSG00000136040	0.300221841830072	7.99951773749504e-07	4.53878887254357e-05
ENSG00000055732	0.637729329100301	8.61152281263376e-07	4.86701824332706e-05
ENSG00000156502	-0.144346424838056	8.86285536081851e-07	4.98965015953058e-05
ENSG00000187862	-0.53817194844922	9.07747500758168e-07	5.09074611911675e-05
ENSG00000122642	0.505235746587057	9.14588613738374e-07	5.10938446713457e-05
ENSG00000161533	0.22231199677696	9.27946234124673e-07	5.16414523013827e-05
ENSG00000186431	0.470954975119634	9.61202905234988e-07	5.32880618264817e-05
ENSG00000165886	0.309578175398328	9.82088073188796e-07	5.42388945363774e-05
ENSG00000086506	0.947452932754996	9.96630368223372e-07	5.4626626786583e-05
ENSG00000109654	0.357297174686229	9.95053489137898e-07	5.4626626786583e-05
ENSG00000206177	1.38506860385899	1.00983224508815e-06	5.51421554883663e-05
ENSG00000151948	0.387040310172232	1.02183497578276e-06	5.55885881020399e-05
ENSG00000022567	0.371084175277225	1.05167700066318e-06	5.65763275356767e-05
ENSG00000111058	0.80141286132241	1.05085666967536e-06	5.65763275356767e-05
ENSG00000176597	0.513830049780657	1.04460972560493e-06	5.65763275356767e-05
ENSG00000123689	1.48212232980786	1.06095274538033e-06	5.68647181795178e-05
ENSG00000244734	1.23575004218927	1.08507840673821e-06	5.79439847715899e-05
ENSG00000013306	0.485687778011995	1.09177867132836e-06	5.80364603685831e-05
ENSG00000105835	0.797575869604978	1.09480138664315e-06	5.80364603685831e-05
ENSG00000158089	0.881872736811918	1.13194819025642e-06	5.97874453217253e-05
ENSG00000131355	0.501197064883057	1.20067691313302e-06	6.31877976929605e-05
ENSG00000112096	0.449165927360843	1.21583947489674e-06	6.37547594688633e-05
ENSG00000197208	0.397558293570885	1.30404280417293e-06	6.81338911173088e-05
ENSG00000187244	1.45688634718957	1.30907287785319e-06	6.81515539455829e-05
ENSG00000124406	-0.209730602665405	1.3612735587293e-06	7.06160658590824e-05
ENSG00000105701	0.315169616495591	1.37457944939258e-06	7.09483735141792e-05
ENSG00000112183	-1.54993878953912	1.37744862864017e-06	7.09483735141792e-05
ENSG00000206172	1.26395528093958	1.39986078204715e-06	7.18479783011831e-05
ENSG00000106348	0.201612093313018	1.4141302644122e-06	7.2324796093617e-05
ENSG00000165406	0.185315252143744	1.44680850839583e-06	7.37364687173663e-05
ENSG00000090020	0.117916085213999	1.47221637381463e-06	7.47690308729284e-05
ENSG00000002834	0.124172133576367	1.52505326298247e-06	7.71825736753322e-05
ENSG00000125780	1.46932027873678	1.53085368090621e-06	7.72071170665373e-05
ENSG00000005238	0.238271002883019	1.55223019401387e-06	7.80143376057146e-05
ENSG00000141526	0.279463168955452	1.58287625753077e-06	7.90078269437609e-05
ENSG00000163959	1.19063469314781	1.57964820755307e-06	7.90078269437609e-05
ENSG00000051382	0.208610873221065	1.61669076749127e-06	8.01448238833129e-05
ENSG00000124731	0.624324789009793	1.61571787399643e-06	8.01448238833129e-05
ENSG00000118900	0.170019198701791	1.6310263478693e-06	8.05804683768759e-05
ENSG00000087903	0.348099005650959	1.68203756243233e-06	8.28189681163715e-05
ENSG00000079308	0.632330328058676	1.70480877293666e-06	8.36565791449491e-05
ENSG00000164047	1.33103950735767	1.73433549364676e-06	8.48189328121857e-05
ENSG00000163171	0.220762989562333	1.76011301531556e-06	8.55038178844766e-05
ENSG00000274180	0.248245829020236	1.75849433805479e-06	8.55038178844766e-05
ENSG00000086548	1.43430556030826	1.77208589903159e-06	8.5798492278113e-05
ENSG00000115590	0.904822598964922	1.8180964730721e-06	8.77337251540606e-05
ENSG00000144283	0.151814932827552	1.87700106749539e-06	9.00824011587545e-05
ENSG00000242616	0.378256008503016	1.87917160420672e-06	9.00824011587545e-05
ENSG00000136261	-0.137591957854783	1.89036644063201e-06	9.03209623361183e-05
ENSG00000169891	0.348516827261968	1.91296151356185e-06	9.11008720802815e-05
ENSG00000124102	1.58107243167502	1.92500383361645e-06	9.13747734747677e-05
ENSG00000011198	0.317655802637016	1.98294438751097e-06	9.38184600280025e-05
ENSG00000121297	0.289867772628977	2.02873410049494e-06	9.56732558756136e-05
ENSG00000102226	-0.178879807412965	2.08829927611177e-06	9.7846925759753e-05
ENSG00000181666	-0.167550889860446	2.08675585462145e-06	9.7846925759753e-05
ENSG00000169877	1.52682955947258	2.123550422676e-06	9.91786813162988e-05
ENSG00000082512	-0.205520184613232	2.17651667423981e-06	0.000101326617606838
ENSG00000033327	0.293497761761422	2.19812996371161e-06	0.000101681011856405
ENSG00000213390	0.108862126491662	2.19428467897507e-06	0.000101681011856405
ENSG00000235568	0.289795052584404	2.21452244188241e-06	0.000102114090375689
ENSG00000076351	0.237101018342689	2.2350937808516e-06	0.000102736510021739
ENSG00000198373	0.114722726690398	2.25479554119536e-06	0.000103315158472753
ENSG00000158163	0.720587675663706	2.33988899503174e-06	0.000106877005197597
ENSG00000120709	0.243092569509345	2.45318495339533e-06	0.000111568851179971
ENSG00000120963	-0.122828895054799	2.45797124802691e-06	0.000111568851179971
ENSG00000243943	-0.142434704028375	2.50130391222323e-06	0.000113182053972095
ENSG00000112303	0.425005488307726	2.54493720505972e-06	0.000114798797836933
ENSG00000122641	1.48353947999196	2.56820904634591e-06	0.00011548989596958
ENSG00000025156	-0.208415776303733	2.58599778156128e-06	0.000115930919065363
ENSG00000159339	0.448368097622949	2.6025054113947e-06	0.000116311972616948
ENSG00000196653	-0.438838913899448	2.61230434294263e-06	0.000116391780924054
ENSG00000173110	0.546843612237481	2.63648709551145e-06	0.000117110015481051
ENSG00000204475	-0.364460182256774	2.71782279390261e-06	0.000120354805126327
ENSG00000188897	0.723809155934336	2.85591393113233e-06	0.000126085561853182
ENSG00000148411	0.227827573993427	2.90945677428082e-06	0.000128060180746754
ENSG00000130830	0.254175855000773	2.94834125257868e-06	0.00012937962747343
ENSG00000182489	-0.551607483809582	2.975191992983e-06	0.000130164649693006
ENSG00000054523	0.22083366873822	3.01169126965056e-06	0.000131365812887911
ENSG00000171049	0.640689072258424	3.05628484973148e-06	0.00013291178874955
ENSG00000070371	0.42329884080947	3.10459043783407e-06	0.000134609480924
ENSG00000139644	0.0958058421809339	3.1738102247331e-06	0.000137201171173358
ENSG00000103355	1.11416288120317	3.35530391305838e-06	0.000144616585570246
ENSG00000104892	1.56846372913376	3.39414088477104e-06	0.00014585768151272
ENSG00000134198	0.35203287291816	3.46675913087087e-06	0.000148538868365485
ENSG00000172985	-0.369571278278188	3.48232880094305e-06	0.000148767134804994
ENSG00000184014	0.184321972433236	3.54983696071027e-06	0.00015110257551519
ENSG00000244617	0.466781201508124	3.55780246651945e-06	0.00015110257551519
ENSG00000130713	-0.133404938432654	3.61295464712001e-06	0.000152997569240286
ENSG00000174516	0.222209634057481	3.62890443441395e-06	0.00015322627008681
ENSG00000100600	-0.281440445759481	3.66714064714717e-06	0.000153775290287189
ENSG00000133742	1.52435594054434	3.66181403354604e-06	0.000153775290287189
ENSG00000166582	-0.271109427123504	3.673667864348e-06	0.000153775290287189
ENSG00000198858	0.208159369221499	3.69925508509697e-06	0.000154401379629407
ENSG00000138035	-0.216803759509141	3.79953582702689e-06	0.000158132544090446
ENSG00000165879	0.27802800913849	3.85421245400823e-06	0.000159041011063834
ENSG00000177191	0.390723442879981	3.84357844118381e-06	0.000159041011063834
ENSG00000183018	0.535791887902504	3.8345268820856e-06	0.000159041011063834
ENSG00000163563	0.35912488905449	4.17319385687924e-06	0.000171715696235612
ENSG00000104731	-0.188643048707735	4.29735276728745e-06	0.000175828306886902
ENSG00000188305	0.453121805118437	4.29247684375097e-06	0.000175828306886902
ENSG00000151726	0.47724805813362	4.31578421559884e-06	0.000176086420594307
ENSG00000115507	1.50005857462408	4.33653355625304e-06	0.000176437394690687
ENSG00000135636	0.48901421964688	4.35924437373115e-06	0.000176865990302919
ENSG00000110693	1.20098322418237	4.40705640407936e-06	0.000177812484081258
