Peak id	Log FC	P-value	Adjusted P-value	Log Odds
261	-0.67	0.0459	0.1962	-5.0608
262	-0.03	0.8691	0.9381	-7.423
263	-0.29	0.2491	0.5268	-6.6446
264	-0.31	0.1844	0.4558	-6.3859
265	-0.31	0.265	0.5407	-6.6958
266	-0.42	0.0479	0.2023	-5.1052
267	-0.14	0.4303	0.6754	-7.0669
268	-0.09	0.3285	0.5988	-6.8679
269	-0.17	0.0858	0.2847	-5.676
270	-0.04	0.7156	0.8545	-7.3598
271	0	0.9768	0.9892	-7.4388
272	-0.21	0.0405	0.182	-4.9363
273	-0.08	0.5137	0.7356	-7.1839
274	-0.19	0.0971	0.3076	-5.7947
275	-0.09	0.401	0.6509	-7.0171
276	-0.11	0.5308	0.7461	-7.204
277	-0.19	0.0953	0.3035	-5.7769
278	-0.19	0.0924	0.2969	-5.7471
279	-0.06	0.7364	0.8665	-7.3714
280	0.01	0.8906	0.948	-7.4279
281	-0.19	0.1868	0.4583	-6.397
282	-0.05	0.6774	0.8358	-7.3356
283	-0.02	0.8751	0.942	-7.4245
284	-0.09	0.5705	0.7731	-7.2465
285	-0.16	0.1927	0.4646	-6.4243
286	-0.02	0.8768	0.9426	-7.4249
287	-0.06	0.6355	0.8123	-7.3047
288	0.34	0.2913	0.5656	-6.773
289	0.07	0.7332	0.8638	-7.3697
290	0.23	0.1628	0.4231	-6.2747
291	-0.27	0.211	0.4849	-6.5034
292	-0.54	0.0223	0.1243	-4.3262
293	0.12	0.4786	0.7122	-7.1387
294	0.1	0.6812	0.8376	-7.3382
295	0.16	0.4508	0.6889	-7.0987
296	0.55	0.1984	0.4721	-6.4498
297	0.35	0.0421	0.1844	-4.9738
298	0.17	0.1728	0.4382	-6.3282
299	0.19	0.1717	0.4368	-6.3223
300	0.13	0.2109	0.4849	-6.5032
301	0.37	0.0839	0.2808	-5.6549
302	0.01	0.9615	0.9825	-7.4379
303	-1.47	0.0513	0.2108	-5.1725
304	-0.01	0.878	0.9431	-7.4252
305	-0.44	0.2869	0.5607	-6.7607
306	-0.41	0.3229	0.5952	-6.8545
307	-0.33	0.2047	0.4793	-6.4772
308	-0.29	0.2858	0.56	-6.7574
309	-0.02	0.9074	0.9561	-7.4312
310	-0.05	0.8001	0.8995	-7.4009
311	-0.26	0.3303	0.6008	-6.872
312	-0.24	0.283	0.5589	-6.7496
313	-0.1	0.5795	0.7782	-7.2553
314	0	0.9943	0.9966	-7.4393
315	-0.56	0.0026	0.0317	-2.0397
316	-0.79	0.0024	0.03	-1.9638
317	-0.75	0.0024	0.0307	-1.9921
318	-0.72	0.002	0.0272	-1.7813
319	-0.71	0.0034	0.0368	-2.3387
320	-0.56	0.0049	0.0451	-2.7477
321	-0.74	0.005	0.0451	-2.7485
322	-0.54	0.0054	0.0474	-2.8433
323	-0.42	0.0762	0.2645	-5.5616
324	-0.35	0.1415	0.3927	-6.1471
325	0.01	0.9722	0.9866	-7.4386
326	-0.37	0.3262	0.5981	-6.8624
327	-0.4	0.3904	0.6426	-6.9976
328	-0.46	0.367	0.6264	-6.9521
329	-0.34	0.4073	0.6578	-7.0282
330	-0.25	0.4515	0.6894	-7.0998
331	-0.58	0.3721	0.6297	-6.9623
332	-0.45	0.3278	0.5986	-6.8661
333	-0.28	0.4913	0.7202	-7.1556
334	-0.13	0.6986	0.8476	-7.3494
335	-0.43	0.3852	0.6404	-6.9879
336	-0.36	0.3735	0.6311	-6.9652
337	-0.37	0.3934	0.6438	-7.0031
338	-0.41	0.3039	0.5765	-6.8067
339	-0.61	0.1805	0.449	-6.3668
340	-0.41	0.3187	0.5908	-6.8443
341	-0.4	0.2633	0.54	-6.6905
342	-0.54	0.2352	0.5138	-6.5964
343	-0.57	0.2315	0.5108	-6.5829
344	-0.26	0.4136	0.6625	-7.0391
345	-0.48	0.3931	0.6438	-7.0027
346	0.09	0.8637	0.9357	-7.4216
347	-0.13	0.7258	0.8603	-7.3656
348	1.05	0.0187	0.1105	-4.1455
349	0.8	0.0982	0.3103	-5.8057
350	0.8	0.1284	0.3709	-6.0574
351	1.07	0.0269	0.1419	-4.52
352	1.37	0.0007	0.0146	-0.6019
353	1.59	0	0.0018	2.7387
354	0.6	0.0916	0.2957	-5.7391
355	0.63	0.0921	0.2966	-5.7441
356	1.19	0.0022	0.0282	-1.8719
357	0.56	0.2901	0.5648	-6.2435
358	0.27	0.5348	0.7486	-7.2085
359	0.32	0.2835	0.5589	-6.7509
360	-0.26	0.5794	0.7782	-7.2553
361	-0.24	0.2985	0.5736	-6.7924
362	0.34	0.2944	0.5688	-6.7813
363	0.39	0.3264	0.5981	-6.8628
364	-0.29	0.3115	0.5817	-6.8263
365	-0.35	0.1799	0.4486	-6.3637
366	0.12	0.6084	0.7957	-7.2821
367	-0.18	0.7234	0.8586	-7.3642
368	-0.06	0.5076	0.7312	-7.1764
369	-1.01	0.0164	0.1003	-4.0092
370	-0.73	0.0195	0.1136	-4.1879
371	-0.73	0.0209	0.118	-4.2597
372	-0.61	0.0533	0.2139	-5.2099
373	-1.75	0.0084	0.0623	-3.3141
374	-1.76	0.0084	0.062	-3.3063
375	-0.71	0.0304	0.1535	-4.6444
376	-0.94	0.0097	0.0685	-3.4644
377	-1.29	0.005	0.0452	-2.754
378	-1.51	0.0055	0.0477	-2.8616
379	-1.65	0.0112	0.0764	-3.6156
380	-0.75	0.0521	0.2119	-5.0572
381	-1.68	0.0044	0.0422	-2.4291
382	-1.63	0.0201	0.1152	-4.069
383	-0.89	0.0954	0.3035	-5.7779
384	-0.92	0.0011	0.0203	-1.1692
385	-0.75	0.0026	0.032	-2.0669
386	-0.89	0.0015	0.0234	-1.4326
387	-0.38	0.2835	0.5589	-6.751
388	-0.87	0.0412	0.1833	-4.9541
389	-0.39	0.0319	0.1585	-4.6944
390	-0.43	0.0165	0.1006	-4.0146
391	0.3	0.0254	0.1374	-4.4596
392	0.44	0.0077	0.0595	-3.2231
393	0.48	0.0068	0.0544	-3.082
394	0.47	0.009	0.065	-3.379
395	0.49	0.0063	0.0519	-3.0091
396	0.62	0.0054	0.0474	-2.8411
397	0.21	0.1766	0.4435	-6.3473
398	0.65	0.0029	0.034	-2.1792
399	0.76	0.0015	0.0237	-1.496
400	0.85	0.0018	0.0257	-1.6593
401	0.68	0.0087	0.0637	-3.3448
402	0.87	0.0015	0.0236	-1.4523
403	0.88	0.002	0.0271	-1.7662
404	0.16	0.3689	0.6274	-6.9559
405	0.91	0.0007	0.0153	-0.7005
406	0.33	0.0446	0.1919	-5.0333
407	0.93	0.002	0.0271	-1.7638
408	0.39	0.0379	0.1743	-4.8696
409	0.49	0.0124	0.0805	-3.7157
410	0.46	0.0065	0.0528	-3.0321
411	0.51	0.0055	0.0476	-2.8533
412	0.52	0.0036	0.0378	-2.3976
413	0.57	0.0032	0.0356	-2.2951
414	0.21	0.065	0.2415	-5.4062
415	0.46	0.0095	0.0671	-3.4379
416	0.55	0.0118	0.0788	-3.664
417	0.49	0.003	0.0341	-2.1977
418	0.3	0.078	0.2674	-5.5842
419	0.46	0.0176	0.1052	-4.0838
420	0.39	0.0174	0.1051	-4.0725
421	-0.83	0.0036	0.0378	-2.4003
422	-0.32	0.149	0.4045	-6.1943
423	-0.95	0.0018	0.0257	-1.6561
424	-0.69	0.0158	0.0976	-3.9691
425	-0.33	0.1285	0.3709	-6.0581
426	-0.01	0.9097	0.9575	-7.4316
427	0.04	0.6908	0.8455	-7.3445
428	-0.07	0.487	0.7186	-7.15
429	-0.11	0.2095	0.4825	-6.4972
430	0.05	0.5392	0.7517	-7.2135
431	-0.17	0.0771	0.2667	-5.5732
432	0.1	0.3199	0.5923	-6.8471
433	0.03	0.7556	0.8751	-7.3813
434	-0.04	0.7225	0.8586	-7.3638
435	-0.03	0.7837	0.8908	-7.3942
436	-0.03	0.8007	0.8995	-7.4011
437	0.07	0.6181	0.8033	-7.2904
438	0.05	0.635	0.8122	-7.3043
