ms1_peak_id,Resistantcells0003.mzXML,Resistantcells0010.mzXML,Resistantcells0017.mzXML,Resistantcells0024.mzXML,Wtcells0001.mzXML,Wtcells0008.mzXML,Wtcells0015.mzXML,Wtcells0022.mzXML
Group,Resistantcells,Resistantcells,Resistantcells,Resistantcells,WTcells,WTcells,WTcells,WTcells
64,26028.41211,28002.13086,25355.05078,28454.4082,20642.04688,26696.33984,23921.43555,26466.2207
65,18729.5625,23688.13281,20952.71289,27614.39648,10628.06836,25778.33984,15361.79199,22161.34961
66,23310.65234,26563.94922,23108.02539,25548.31836,20301.35352,27198.91797,21640.39648,23632.6543
67,20387.67773,26163.50977,19957.1543,25907.94727,16604.99023,25175.44336,16662.33984,20865.0957
68,20484.24805,22856.03711,19303.57422,25362.11328,15593.48242,20589.74219,16458.51758,21663.60156
69,17673.12109,24484.03516,16226.51953,24903.08594,13396.85449,23654.82617,15214.23633,19977.93555
70,22101.50977,24850.47266,19881.2793,22240.77539,18506.80664,22406.74609,20316.96484,22376.27344
71,17643.03711,24517.29688,17018.00977,23110.07813,13167.66113,23362.49414,15541.3125,19098.25195
72,16289.45703,23497.1582,15593.12012,20980.55273,11469.44922,21661.36133,13518.21387,16896.91602
73,17913.30078,23305.30664,20547.39258,20899.78125,14471.6582,20829.86523,19158.20508,20475.15039
74,14092.25879,18825.62695,13066.27148,19654.53125,11605.17383,20782.90039,14080.97754,15376.28223
75,15439.35449,19062.98633,14206.50195,17353.46289,14006.06348,20125.74805,13268.84863,16065.78711
76,13056.02637,17753.49414,10240.92285,14793.72461,9662.133789,16814.93164,11267.29883,14181.90137
77,12430.60156,15591.41602,13087.93848,17179.14063,10649.84277,17472.91016,11348.53516,13895.57227
78,12419639,22659620,13983410,38557664,15920117,29320360,20346598,28887124
79,14986.21973,60528.0625,43107.80469,79190.3125,28462.08594,94887.875,57429.84375,92890.47656
80,16142.42188,32627.91406,17942.78711,57319.51953,18840.41797,40279.0625,29835.8125,38952.48047
81,22744.53516,46501.15234,25743.68164,51850.6875,16426.28906,36237.23047,22340.19922,34836.89844
82,14385.86426,19999.16602,11711.14258,21700.05859,9660.976563,19596.42773,15216.75098,18768.04492
83,10042839,18234070,11615160,29244708,11974291,22589908,17125042,24271390
84,13525.96484,23198.3418,13636.89941,24311.11523,8048.775391,20869.61914,14243.87891,21098.81445
85,5004.122559,17145.04492,11701.41211,19822.00781,7915.342773,13832.86523,10619.78418,18379
86,7676.616211,16081.61621,8825.835938,17795.53125,7172.019043,18876.04492,8085.205078,16265.67383
87,7360.246582,9160.415039,4122.577637,10898.85645,5587.037598,12509.76074,7733.653809,8722.330078
88,3606.094482,8265.575195,3688.28418,6881.617188,3023.727051,8947.750977,5709.51709,8235.238281
89,5515272.5,9110762,5983146,13385121,24360392,13003949,11167680,13582008
90,2096752.5,3165133.5,1918233,3844046.25,3787622.25,3384037.25,2844380.5,2911508.75
91,10580.63672,16770.87891,8326.263672,21807.26758,25078.37109,17500.24609,12981.25781,15637.55078
92,8970900,7050540,10459050,9439385,18827482,8602743,13252542,22871570
93,5297.369629,11144.5625,7924.016113,16945.10938,38907.17188,14574.36816,13289.11035,26029.25586
94,10950.2207,6292.686523,13370.08203,12047.02832,14975.22949,12005.71973,12554.23926,17262.91602
95,11968.4834,5308.586426,8940.764648,10144.40723,15521.89063,6109.270508,14379.9668,16787.89063
96,6443678.5,12891110,9437891,21060524,11739141,17694032,12981973,16335684
97,88643.10938,202785.7813,123228.4766,333753.625,163693.6875,275578.8438,189690.7969,251384.0938
98,5446.001465,18870.55859,10978.18457,28750.95117,12591.83203,21147.69141,13307.69238,20584.2832
99,6744386,14607185,9619100,16020083,3132525,4405136.5,3245956.25,4952257
100,23495.75,52343.01953,25157.15039,42076.25391,,9156.753906,5477.885254,7006.995605
101,18961.90625,36926.75,20724.1543,32619.70703,17935.80664,18467.12891,15965.3916,18663.81836
102,5629.797363,12760.58203,7706.839355,15742.73145,,,4839.418945,
103,2551097.75,8309792,5690716,11220317,5836088,12924552,9007900,15168718
104,3345397.25,9735749,6689342.5,15093368,7032452.5,12204316,8834751,12152824
105,13393.94727,39634.19531,28103.58008,60140.77734,33927.48828,56741.40625,42752.60156,54390.97266
106,14150010,14031118,13851513,14261253,12751918,13404010,14131876,13573811
107,3642177.5,3767187.25,3576684.25,3713875.75,3289874.75,3471279.75,3522887.25,3781612.25
108,2952574.25,3020045.75,3006520.25,3002950,2669471,2775267.75,3046950,2984681.75
109,2038865.625,2074862.875,2069477.875,2055239.625,1843632.125,1989349.625,2128564.5,2097752.75
110,1604135,1556755.375,1487035.125,1563414.75,1378241.375,1498636,1496116,1535795.25
111,1231986.25,1124931.5,1174856.25,1117485.25,1249390.5,1163316,1261559,1285214.875
112,699712.9375,801919.0625,709500.75,797850.0625,656598.875,688781.125,647616.625,704637.625
113,351515.0625,381490.1563,340738,378059.0313,318757.7188,346660,339225.9375,388491.875
114,374460.25,378155.875,371233.3125,371923.5938,352448.875,349276.9063,348435.6563,377605.75
115,313835.3125,334053.5625,331547.3438,350295.6875,315046.1563,353809.2813,285543.7813,345282.7188
116,283185.8125,330654.9688,277189,330835.125,241248.8438,273573.6875,268158.9375,274443.2813
117,257079.75,297075.4688,247430.0313,282996.7813,268442,319375.4063,226390.3906,267379.1875
118,283525,308357.8438,314609.4375,306277.6563,294997.4688,277721,283261.7188,299133.5313
119,220488.1719,214655.8281,214405.0469,218347.0156,193214.375,222160.8438,204782.8438,225107.7969
120,202037.75,190851.6563,195447.875,165060.7813,222380.0313,181143.6875,214893.7656,197298.7031
121,176007.5625,174539.75,178014.0313,184046.3906,164441.0625,154295.4219,167549.1875,172455.4219
122,165979.8438,169428.3594,167207.8281,160271.7188,153781.4844,158152.3438,157231.6406,169332.625
123,145406.5313,143690.875,133897.9063,131193.2031,120257.8828,140655.4688,135282.8906,148480.0781
124,140251.7188,121363.5313,142284.75,125632.0078,118352.9375,120319.9531,123667.0078,120902.5313
125,125736.7266,106006.9375,117924.6797,102818.5781,141176.7344,105248.5547,120291.7188,134691.9531
126,117118.6875,130127.0078,121875.8594,127209.7109,117636.5156,121590.1719,119365.6172,123615.6875
127,99351.97656,128495.6797,101228.4453,110406.9297,97983.74219,95630.1875,89974.02344,102903.4297
128,105776.9766,121754.6797,104143.1641,127211.1953,102402.8359,110898.7656,106853.4531,107382.8359
129,94978.09375,114269.9453,106640.9219,118553.2031,97061.65625,115287.9453,92609.32813,103911.3906
130,81390.14844,111158.1875,86256.14844,96064.49219,85444.64063,86989.64844,84534.84375,85303.72656
131,87359.04688,95666.54688,87540.42969,90022.32031,97836.03906,92494.29688,84287.09375,91944.04688
132,96408.83594,93653.375,96365.40625,92755.45313,91292.13281,88041.17969,87301.32813,93779.09375
133,86564.48438,85094.85938,84547.70313,94215.9375,72282.48438,83307.25781,86408.99219,82882.55469
134,79887.23438,80079.08594,77544.3125,84361.8125,75416.78906,81591.94531,75183.58594,71316.36719
135,63058.58984,83419.19531,63409.82031,73679.23438,62006.71875,57197.11328,62644.82813,59203.84766
136,62830,61769.59766,63886.04688,61264.98828,72004.95313,60208.32031,61523.44922,59867.23828
137,59698.53906,57229.32813,52097.07422,60343.95703,45823.51563,48920.19531,50002.61719,55531.06641
138,58559.17969,47321.35156,52918.49219,51667.45703,47143.22656,47804.70703,49737.01953,42030.61328
139,56689.02734,50536.27734,46665.40625,50026.26172,52986.51953,52135.3125,55148.48438,57545.22266
140,41166.60156,55227.09766,44337.98438,46795.55469,38385.32422,47267.11328,44134.92188,36909.76563
141,51373.35156,53401.30469,46778.3125,48915.94141,44287.02344,49563.09375,47759.07031,45859.16016
142,36846.1875,41893.71484,41596.96094,42307.29297,34639.89453,43324.54688,32181.03125,35104.625
143,26437.76563,40335.54688,31278.58594,36550.31641,30674.98438,33239.17188,28066.25977,36419.67578
144,28600,37855.05859,29926,31938.10352,31924.45703,32342.65039,30328.40039,37807.82031
145,36486.24609,29587.23438,30676.44922,28650.36719,36018.87891,31642.31836,33286.64844,36170.14844
146,32901.96484,31476.64648,31644.9043,34960.29297,30094.7168,29832.7832,29913.71289,30347.04297
147,32854.95313,33901.86719,30039.0625,33013.89063,28791.86328,30332.14063,32401.09375,30598.91406
148,26305.16406,29327.03906,29582.19141,26795.04297,27261.57617,27258.43945,33303.92969,23053.30078
149,31195.88086,27902.35156,26302.68164,33002.16797,26884.81836,24359.47656,25272.80273,26139.17773
150,25990.9375,25638.81641,26315.94336,26891.11914,24556.08789,31458.37305,21971.47461,26010.79492
151,29297.47656,27778.79492,27700.36719,26855.22656,30618.03906,27057.4375,28865.46094,27649.11914
152,28664.43555,26715.94727,27532.10156,27326.30664,24629.95703,21193.50781,24601.01367,26049.4375
153,26229.88672,26805.37695,24707.19727,20376.83789,19832.00977,20040.25195,21063.85156,22015.25391
154,21559.58008,25370.03711,22269.5,23776.07422,22997.4668,19056.39648,21087.05664,22263.12109
155,18778.88281,23880.91406,19666.77734,20375.30859,18034.96289,16223.56738,17082.96094,14473.37305
156,23150.2832,21809.66016,19180.02344,19094.58398,18280.96289,20412.62109,20745.5293,20491.20117
157,21941.86719,19749.07617,17089.8125,21360.9043,17083.78711,21680.1543,17827.88086,20847.35156
158,16168.08691,19087.79688,17363.6543,20709.25391,14726.79688,21583.82617,13239.14551,16280.43457
159,21078.74219,21216.66016,20472.74219,20289.61914,17069.04688,19806.35156,15714.91797,21460.46484
160,15766.41016,18453.76172,14468.12012,15446.49316,13902.65918,13502.69434,16547.20508,14721.05566
161,14988.30078,16461.86523,17626.89258,15286.9248,14733.36328,14749.80664,14057.89844,13819.56055
162,14434.42871,16832.20313,15870.61426,13695.99219,12727.81738,12783.00684,14058.22363,13113.14941
163,12458.6543,13777.19141,11550.56445,12437.68848,10302.55957,10358.96582,12114.25684,12495.0332
164,10677.58398,11486.96875,12449.38672,13174.77051,13382.72852,12942.11523,11668.91211,10845.29004
165,12847.95996,11643.38281,12370.55957,11970.09961,11001.40234,11034.79785,12166.79492,11910.76758
166,10582.2207,11100.12891,10107.58887,9450.341797,9465.736328,9586.733398,11211.45801,9712.926758
167,8063.589355,9165.953125,9314.583008,10222.5,10194.21387,8632.132813,10376.33594,8710.295898
168,11306853,6573430,5263748,5732589.5,5071532.5,5785584.5,3811683.5,4797761
169,32480.94922,27397.24414,23091.9375,24518.86914,22960.37695,22881.89844,20450.59375,18622.60156
170,22810.37305,17699.39453,16409.16992,17495.93164,15542.79004,16235.73926,11260.78906,12968.29688
171,17701.64453,15251.76367,14834.22559,13638.66895,12984.00488,11350.20703,9936.532227,12055.07617
172,16091.42676,10772.52148,10536.16113,10310.00977,10132.99316,10211.1709,9184.524414,9051.532227
173,12444.01367,8686.964844,7482.55127,8648.170898,10170.67773,10837.7793,6851.42041,9229.768555
174,10694.35156,5386.543945,5626.270508,6886.213867,5286.416016,7629.064453,5602.913086,6184.647949
175,7074344.5,9764396,5761761.5,10965352,5582411.5,10406655,6555938.5,9084090
176,54761.97656,48333.92969,24899.61523,55963.90234,18293.33398,60726.875,29932.84961,38004.36719
177,25520.81055,35513.87109,21051.38281,41980.44922,22355.74609,45385.57422,22228.05078,34626.78906
178,9384.870117,10628.97168,6668.600586,11429.73438,6656.641602,14690.12598,8050.100586,12783.62305
179,6008.520508,7482.626953,3441.286377,9336.066406,2788.419189,7429.789551,4738.870605,5435.227539
180,5734.398438,7203.162598,5273.669434,7176.171875,4256.014648,7970.629883,4722.117188,7033.608398
181,6292.369141,6672.15332,4664.754395,7020.772949,3820.902832,7510.84668,5147.692383,6557.185059
182,4550450.5,8705509,6809537,8089571,4361704,8640517,7123943,10119169
183,17577.05859,63721.32031,49915.90625,78814.83594,17712.59375,69960.52344,51769.26953,94365.92188
184,27439.19727,40544.71484,22456.95508,37574.4375,9969.15332,70564.65625,34279.35156,58416.93359
185,2384.978516,4578.163574,4200.996582,5031.834473,2328.380371,4858.44873,3835.875977,5576.477539
186,9180016,8782818,9296433,8442077,8777809,9529981,9021928,8906553
187,501010.0938,464115.0938,481911.1875,468142.1563,449971.5313,479104.2813,465305.8125,477279.4375
188,485604.0938,441138.2813,461117.0313,433655.5313,450172.7188,474766.4688,440865.4688,472212
189,297948.5313,341220,300212.6875,294890.9063,304161.3438,285035.125,281047.5,302456.4688
190,150771.3906,127469.0625,117148.9297,109226.7344,116580.9609,112976.8125,125564,118788.7344
191,124253.1172,109848.6563,105302.25,106852.0703,113629.1484,113888.9766,119378.75,111973.8438
192,112149.0234,98989.72656,96430.25,95402.15625,92231.45313,107994.0391,112906.9297,109337.9922
193,94649.24219,92470.89844,91101.72656,95859.24219,89882.54688,103207.8984,110571.4844,99137.48438
194,90521.0625,83585.69531,82978.60938,82202.58594,83917.85938,87229.96875,89517.92188,89323.89844
195,83466.05469,82480.30469,78340.79688,81323.65625,70668.71094,69443.07813,87868.85938,81206.75781
196,77310.16406,75980.77344,79701.77344,74011.64844,70341.5,68458.5,82381.60938,72545.32031
197,41714.68359,49718.50781,44478.55469,40898.73438,41922.69531,43591.84375,38996.52734,37160.71484
198,46459.26172,39708.51953,43602.8125,40939.51953,44277.77344,44027.44922,41529.22656,37342.00391
199,35154.53906,31878.44922,27947.11133,30799.97266,27737.23242,30447.78711,29264.17773,27171.18164
200,34025.02734,34105.08203,32460.86133,33130.04297,30390.92969,30662.1543,32967.26172,31116.60547
201,19440.24414,15124.81445,15953.83789,17073.27344,17129.78711,16242.6748,16124.04883,15771.5957
202,247622.9219,1463207.75,866404.6875,1393012.5,2342626.75,8956279,6345950,9080150
203,2276.357178,11019.56934,7593.688965,8405.683594,20087.74414,50914.39844,47420.16797,53047.42969
204,5296.52002,13954.96289,10423.58984,10680.44336,24604.16797,46145.49609,42715.57031,45930.8125
205,1950.953247,5709.210449,4310.190918,5355.585449,10546.67383,39381.89844,31624.8125,36755.00781
206,,7843.746582,5597.044922,6197.598145,11404.64648,18505.21484,14247.75977,23517.07227
207,10510.47754,12225.40234,10823.5498,11466.02344,8686.702148,20652.7832,17949.46289,18492.35547
208,,5434.773926,3885.252441,3308.148438,7194.96875,12781.64844,11930.91309,14579.76953
209,4741410,4224177.5,2786073,4677625.5,4355762,8152167.5,5483440,5507607
210,449868.2188,234550,249617.2031,326239.2188,307857.0625,507058.875,339925.2188,433933.4375
211,97946.85938,97852.42969,80435.66406,139786.4844,87200.48438,237996.75,135159.4219,110215.5781
212,88630.96875,45006.90234,50336.06641,66086.15625,63270.07031,99234.02344,74737.5,88750.4375
213,,,,,43044.41016,81244.625,74947.17188,42610.37891
214,20776.63477,22978.9082,13540.85254,19997.43164,45096.875,53509.44531,41717.14453,48270.24219
215,12836.90332,8670.341797,6121.48291,7078.248535,13907.27246,35837.28906,18753.51172,19685.58984
216,19339.02734,9465.34082,8685.87793,15490.18262,27526.92188,33683.99609,24665.80078,25554.84961
217,14361.51563,13038.85938,10524.75293,12362.58398,15798.79688,33594.375,24818.88867,26033.42188
218,20736.78711,10886.81738,8323.551758,16310.63379,13082.86035,30693.19727,20691.25,17638.75781
219,11401.09473,14213.67285,6553.24707,8610.521484,14355.3916,27058.06836,15690.94336,23892.65039
220,8139.819824,4831.727051,4632.833496,5300.582031,13783.88867,25447.32422,14786.3252,15776.40918
221,9788.217773,8927.614258,6251.037109,7043.849121,13227.84668,22268.86328,15144.57715,15511.99707
222,10916.94629,11612.01465,7960.144531,14448.6748,12318.02637,20393.29102,15552.71582,13985.28125
223,7898262,7751719,5958952.5,7215977.5,6322128.5,7739206,6163427.5,7700522
224,3524270.25,6999342,4844428.5,7725920,5835214,7589235.5,5520814,7789246.5
225,8927.070313,49461.07031,16973.49023,60367.86328,23622.96875,40262.05078,25382.03516,36332.71875
226,37130.5,57283.95703,48932.55859,54996.32031,54718.54297,52657.95703,43403.13281,51554.35156
227,6334.947754,12635.82324,9834.597656,12699.75977,12412.22656,13127.4541,11526.07617,19173.52539
228,4622.845215,11007.24023,7127.227051,10212.05469,6185.303223,9329.645508,6184.591797,9678.230469
229,1609918.375,3685690,1730925.25,3557204.75,2595921,7755350.5,5033154,7648924.5
230,5630.418945,16438.49414,9760.097656,14649.3125,15569.69141,26172.33398,18853.52734,29278.42383
231,3917.047119,8611.636719,6941.065918,9678.374023,8960.09082,18648.05469,16126.61816,26153.83398
232,6767801.5,7494182.5,5596652,6372152.5,6539809,6623332.5,3683567.25,4591211
233,4407392,5443896.5,2835616.75,4661791.5,4863355.5,6818877,4561849.5,5821207
234,,10876.04785,4306.921875,13075.38672,28354.65625,58273.67578,29003.44531,54308.3125
235,4997.240234,8998.894531,6341.063965,9650.617188,12063.40039,18262.52539,11417.24609,20595.42188
236,2972.100586,6970.927734,4629.305664,5489.936523,9992.003906,15508.18359,10328.06152,14394.02148
237,6363548,5659547.5,4548156,5886207.5,5065119.5,6120278.5,4681737.5,6297519.5
238,6363548,5220469.5,4548156,5886207.5,5065119.5,6120278.5,4681737.5,5744338.5
239,96649.24219,66716.9375,59310.00781,82563.0625,70903.17969,86934.25781,59332.33594,74694.89844
240,5822731,4859927,3540292.5,4949575,4210865,5458867,4652373.5,5534364.5
241,2707805.25,1672877,1334201.625,1807604.5,1558699.875,1738364.375,1436786.375,1948522.25
242,2522022.5,5385081.5,3420606.75,5798200,2570131,4946858.5,3597763,5534996
243,116742.4453,362674.3438,126240.8438,361578.75,81662.75,202928.2969,110782.6641,142104.7813
244,41685.27344,120635.0156,48489.44531,126212.7813,26686.18555,82743.25781,44356.10938,54624.63672
245,46850.95703,100260.2578,68647.75781,94373.66406,71942.20313,100455.4063,68916.8125,92124.50781
246,16253.89941,30174.36914,13991.94141,36199.375,12781.03809,25312.52734,14612.98438,20160.94531
247,7983.103027,16337.59082,10777.50586,22847.21094,7603.776367,15941.82617,8947.214844,26430.2207
248,6119.225586,14740.36035,7014.614258,19127.23828,6216.996582,17568.39258,10505.29102,14427.27344
249,6724.92627,11372.44434,7155.717285,16981.29297,9738.712891,17487.07617,12630.78223,18769.55273
250,5163.049316,8345.293945,5650.75293,7755.245117,4454.82959,6659.223633,5721.929199,5912.555176
251,4492.447266,6858.706543,4329.228027,7793.066895,4092.432373,5248.375488,4633.120605,5498.157227
252,2830478.25,4183257.5,3227486.5,4506272.5,3103225.75,5698216.5,4479727.5,5687847.5
253,1998023.375,3285189.75,1847863.5,3795054.75,2284888.75,5364542,3508355.25,5208435.5
254,832733.625,1544346.25,836122.625,1792135.625,989717.25,2507904,1510053,2338003.5
255,261159.9375,656539.8125,438664.7813,932683.3125,379355.875,790824.5625,617748.4375,840403.5625
256,339580.125,501459.4063,383953.3125,536965.625,414914.9688,652727.9375,498915.375,637312.125
257,69668.66406,124673.6797,65968.52344,166326.3438,69430.5625,191212.4375,118347.8047,180847.3594
258,70734.03125,110937.6953,68530.02344,132678.4219,86195.76563,190300.25,126783.75,176484.3438
259,60570.65625,93032.21094,49765.28516,111928.3281,74292.34375,167612.2656,108435.6172,157858.375
260,40413.08984,50369.14453,40421.28125,68813.10156,53286.19531,110161.1641,96049.55469,103809.9531
261,21772.71484,35774.94922,23525.56445,40237.49219,33551.97266,63998.10938,38934.30859,56335.95703
262,25111.65625,28706.18555,26370.83594,37781.11719,22374.20117,34639.94922,27737.22852,36695.1875
263,2578369.5,3683839.25,2943717.25,4260234,2834128.5,4698273.5,3892827.25,5086712.5
264,334902.9375,446510.9063,321431.6875,465341.2188,346138.6563,583428.1875,449818.4688,580040.3125
265,46246.53125,49769.21094,35546.37891,61009.84766,39095.90234,70712.05469,53487.13281,78985.36719
266,32772.05859,35139.03125,25565.22266,38565.10547,36568.67578,52058.24609,37752.08984,50889.90234
267,20896.31445,19010.79883,15327.13867,21952.13086,17132.29492,23092.33398,19579.3125,25396.9082
268,4484127,4714463.5,4275162,4263283.5,4858780,4469812.5,4805695,4722014.5
269,182449.8438,181295.1094,205679.3125,184047.0938,217661.2969,202484.7344,217518.3906,210743.8438
270,136952,111324.2656,141479.5313,121947.0469,142254.6719,116061.8047,130161.0547,138501.0156
271,65539.59375,95723.40625,71890.46094,74948.32813,90938.32031,71081.19531,69373.22656,74448.52344
272,62898.23438,61161.27344,62789.89063,58794.78125,75788.14844,70634.74219,68948.26563,68225.50781
273,58713.6875,63904.24219,51259.61719,60605.54297,63336.05469,54732.13281,67016.71094,61894.64453
274,49439.17188,56183.85938,56667.0625,50782.82813,65570.27344,58155.45703,65172.08594,55169.93359
275,44727.29688,46063.21875,47186.25,44981.16406,55617.98438,46598.36719,46445.4375,46094.90625
276,28905.48047,39061.62109,33756.5625,35528.96484,49270.78906,31455.49414,33400.28125,35497.55469
277,34089.54297,34430.57813,34982.01953,33931.01172,45036.35938,37393.21484,38146.60156,36319.86719
278,30624.29102,34136.37109,31299.62109,38548.86328,39099.62109,38482.98438,38339.02344,37490.3125
279,20944.53125,18910.27148,26967.91211,25792.00195,27996.88281,20859.00781,26210.08008,21052.74805
280,23347.58008,24239.08203,24633.63867,25712.12305,21885.4707,24690.79102,26247.5957,24358.60352
281,14109.28809,13088.67188,13089.44922,15351.2627,19068.38867,12994.4541,15813.98926,16220.15723
