     65000       13000.00     765.622   -1521.906    -756.284       2.664     296.090     300.000      20.217    0 
     66000       13200.00     780.055   -1514.010    -733.955       1.299     301.672     300.000      20.229    0 
     67000       13400.00     814.523   -1502.756    -688.233       3.721     315.002     300.000      20.460    0 
     68000       13600.00     773.561   -1498.335    -724.774       4.152     299.160     300.000      20.434    0 
     69000       13800.00     805.347   -1517.470    -712.123       3.042     311.453     300.000      20.482    0 
     70000       14000.00     803.864   -1510.379    -706.515       4.782     310.880     300.000      20.393    0 
     71000       14200.00     770.946   -1516.314    -745.368       3.556     298.149     300.000      20.414    0 
     72000       14400.00     813.300   -1593.541    -780.240       4.128     314.529     300.000      20.362    0 
     73000       14600.00     798.807   -1517.919    -719.112       2.327     308.924     300.000      20.249    0 
     74000       14800.00     785.622   -1544.751    -759.129       2.913     303.825     300.000      20.258    0 
     75000       15000.00     767.798   -1572.366    -804.568       5.184     296.932     300.000      20.384    0 
     76000       15200.00     790.587   -1555.208    -764.622       2.168     305.745     300.000      20.364    0 
     77000       15400.00     817.150   -1549.704    -732.554       1.506     316.018     300.000      20.491    0 
     78000       15600.00     783.536   -1544.389    -760.852       6.573     303.018     300.000      20.358    0 
     79000       15800.00     779.212   -1536.092    -756.880       3.886     301.346     300.000      20.352    0 
     80000       16000.00     793.033   -1553.890    -760.857       2.865     306.691     300.000      20.514    0 
     81000       16200.00     809.549   -1572.048    -762.499       1.488     313.078     300.000      20.383    0 
     82000       16400.00     774.557   -1499.997    -725.440       2.144     299.546     300.000      20.524    0 
     83000       16600.00     749.180   -1536.610    -787.430       2.065     289.732     300.000      20.494    0 
     84000       16800.00     782.680   -1584.428    -801.748       1.655     302.687     300.000      20.360    0 
     85000       17000.00     783.427   -1553.924    -770.497       2.913     302.976     300.000      20.641    0 
     86000       17200.00     769.441   -1553.786    -784.344       3.782     297.567     300.000      20.501    0 
     87000       17400.00     789.512   -1562.283    -772.770       2.822     305.329     300.000      20.446    0 
     88000       17600.00     799.430   -1571.131    -771.701       4.942     309.165     300.000      20.499    0 
     89000       17800.00     815.500   -1535.027    -719.527       4.753     315.380     300.000      20.658    0 
     90000       18000.00     791.813   -1574.564    -782.750       5.253     306.219     300.000      20.461    0 
     91000       18200.00     795.051   -1519.308    -724.256       3.750     307.472     300.000      20.274    0 
     92000       18400.00     813.252   -1549.582    -736.330       4.759     314.510     300.000      20.273    0 
     93000       18600.00     804.971   -1563.666    -758.695       2.979     311.308     300.000      20.216    0 
     94000       18800.00     780.418   -1541.666    -761.249       2.233     301.812     300.000      20.270    0 
     95000       19000.00     795.019   -1512.719    -717.699       1.700     307.459     300.000      20.255    0 
     96000       19200.00     803.811   -1538.687    -734.876       2.677     310.859     300.000      20.357    0 
     97000       19400.00     756.220   -1569.049    -812.829       2.983     292.454     300.000      20.395    0 
     98000       19600.00     773.600   -1580.023    -806.424       1.385     299.176     300.000      20.458    0 
     99000       19800.00     765.963   -1548.504    -782.541       3.020     296.222     300.000      20.397    0 
    100000       20000.00     779.729   -1564.835    -785.106       4.012     301.546     300.000      20.312    0 
    101000       20200.00     777.976   -1585.346    -807.370       2.662     300.868     300.000      20.315    0 
    102000       20400.00     771.185   -1585.929    -814.744       2.648     298.242     300.000      20.435    0 
    103000       20600.00     793.639   -1578.901    -785.262       2.050     306.926     300.000      20.326    0 
    104000       20800.00     769.731   -1563.795    -794.064       2.549     297.679     300.000      20.199    0 
    105000       21000.00     750.727   -1547.465    -796.738       1.524     290.330     300.000      20.145    0 
    106000       21200.00     779.147   -1552.664    -773.517       1.878     301.321     300.000      20.281    0 
    107000       21400.00     777.023   -1572.018    -794.996       2.395     300.499     300.000      20.192    0 
